"Name","adamw_lr","muon_lr","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"deep-sweep-44","0.00028120774114779484","0.0005717754741276006","0.00025433397000406734","1.6386150121688845","0.9999995884941616","0.8437182869900548","0.8470597189543176","0.8504011509185806","0.49385136365890503","0.842","0.8466582699454135","0.8513165398908271"
"sweepy-sweep-43","0.0002952525352209274","0.0006088202627979912","0.00015121814302584478","1.6112233400344849","0.9999994946904652","0.8451390298355997","0.8497839784724055","0.8544289271092111","0.4769937396049499","0.852","0.8530560088104562","0.8541120176209125"
"morning-sweep-42","0.0003127492282266397","0.000582425175966502","0.0002208973525842557","1.6224710941314695","0.999999458421132","0.8457479196265476","0.8494299181799664","0.8531119167333852","0.48395031690597534","0.85","0.8518032954665873","0.8536065909331747"
"dulcet-sweep-41","0.0002658925286848774","0.0006107810677372733","0.00015937903106525445","1.6196531057357788","0.9999995138600868","0.8471686624720925","0.8504197797960145","0.8536708971199363","0.48221200704574585","0.848","0.8501203929447579","0.8522407858895159"
"woven-sweep-40","0.0002636533435046001","0.0005531340575273604","0.0002345252371854684","1.6661505699157717","0.999999570572989","0.8410797645626141","0.8439358693133923","0.8467919740641705","0.5105159282684326","0.834","0.8412790880348961","0.8485581760697922"
"expert-sweep-39","0.0002467512313993725","0.0006049902659288455","0.00035216806360108396","1.6287904977798462","0.9999994767924976","0.8453419930992491","0.8484195142871751","0.8514970354751011","0.4878377318382263","0.848","0.850136339335357","0.8522726786707141"
"different-sweep-38","0.00025818852615658257","0.0005989875433091988","0.0002261418048802087","1.6294862031936646","0.9999995621307172","0.8449360665719505","0.8485296468815782","0.8521232271912059","0.4882647693157196","0.846","0.8489276031906633","0.8518552063813266"
"honest-sweep-37","0.0002702366383639498","0.0006076382763227819","0.0001725384588758379","1.6202644109725952","0.999999461092667","0.8471686624720925","0.8503589955099957","0.8535493285478989","0.4825893640518189","0.846","0.8491849700268563","0.8523699400537127"
"icy-sweep-36","0.0002502276926951605","0.0005719381743367431","0.0002053318563639358","1.6578967571258545","0.9999994599846737","0.8443271767810027","0.8466273931771368","0.8489276095732708","0.5055497884750366","0.84","0.8448975508366965","0.849795101673393"
"still-sweep-35","0.0002660043539055537","0.0006122199751496855","0.0003109852889793292","1.618335485458374","0.999999512623818","0.8453419930992491","0.8494174158731294","0.8534928386470098","0.48139819502830505","0.846","0.8490714797647647","0.8521429595295293"
"young-sweep-34","0.00027354258119592525","0.000609949741669179","0.00022169264197013396","1.6179180145263672","0.999999506547155","0.8451390298355997","0.8494151447349401","0.8536912596342803","0.48114013671875","0.852","0.8524923682827257","0.8529847365654514"
"flowing-sweep-33","0.0002717064756486455","0.0006121936376925191","0.0003663072947501931","1.6157170534133911","0.9999995441541276","0.8451390298355997","0.8493674500002862","0.8535958701649727","0.4797788560390472","0.852","0.8524550344635025","0.8529100689270048"
"rare-sweep-32","0.00030945799806632356","0.0006080475039198732","0.00022037145959484647","1.6081348657608032","0.999999559817332","0.8453419930992491","0.8506748021669734","0.8560076112346977","0.47507503628730774","0.848","0.8510880477865785","0.854176095573157"
