"Name","adamw_lr","alpha","freeze_layers","muon_lr","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"toasty-sweep-90","0.000040768398851134385","0.07196871703164234","4","0.0005859756872492208","1.325452446937561","0.9999998415988888","0.8701035112644612","0.8782687283826958","0.8864339455009302","0.28175386786460876","0.866","0.8714845005740536","0.8769690011481072"
"rose-sweep-11","0.000049711703134104494","0.08810285956425945","0","0.0003734012259277497","1.331211805343628","0.9999998777784984","0.872133143900954","0.8774453265586273","0.8827575092163005","0.2860897183418274","0.87","0.8714968763590765","0.8729937527181528"
"lemon-sweep-72","0.00006765115071335063","0.10501795098795712","0","0.000384874085791643","1.2977784872055054","0.9999997554214688","0.8696975847371625","0.8771954109146767","0.8846932370921909","0.2606539726257324","0.878","0.8774357416861776","0.8768714833723552"
"brisk-sweep-296","0.00004466985422723616","0.09355277502316832","0","0.0003693169999356888","1.3474825620651243","0.9999998321795814","0.8719301806373047","0.877160350144005","0.8823905196507053","0.298238068819046","0.876","0.8769981034988276","0.8779962069976551"
"giddy-sweep-64","0.000051122315646716755","0.09037196865396945","6","0.0007283883239588686","1.305811882019043","0.9999997039876204","0.8711183275827076","0.877034288122045","0.8829502486613824","0.26682502031326294","0.874","0.8761303149740871","0.8782606299481743"
"clear-sweep-134","0.00004572083110007147","0.0994379333579626","1","0.0004113322633143787","1.3488399982452393","0.9999998391591124","0.8709153643190582","0.8766373649912239","0.8823593656633896","0.2992449402809143","0.874","0.877222265536342","0.8804445310726841"
"pleasant-sweep-16","0.00004132911422271896","0.08598832983158244","0","0.0003895039998810688","1.334253191947937","0.9999998058477508","0.8705094377917597","0.8764982164767288","0.8824869951616979","0.288371741771698","0.87","0.8712336251932423","0.8724672503864846"
"charmed-sweep-303","0.00004428111530259081","0.08886410896316047","0","0.00038034582275359293","1.3587268590927124","0.999999825906134","0.8725390704282525","0.8764234060354009","0.8803077416425493","0.306548148393631","0.866","0.8699484669129582","0.8738969338259166"
"polar-sweep-5","0.00005007460350595469","0.0922260853925138","0","0.00038893748600383023","1.342737078666687","0.999999834684142","0.8694946214735133","0.8760881924208763","0.8826817633682393","0.29471009969711304","0.874","0.8747924331210752","0.8755848662421506"
"driven-sweep-102","0.000042180465434691465","0.11877414016578622","0","0.0003711787519807656","1.433750033378601","0.9999998979441658","0.8719301806373047","0.8760731040282661","0.8802160274192274","0.3602933287620544","0.872","0.8729558458716244","0.873911691743249"
