"Name","adamw_lr","dropout_rate","muon_lr","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"sage-sweep-32","0.00018491988192269624","0.15","0.00044028640952874703","0.00028105022518841596","1.2582881450653076","0.9999998087238876","0.8676679521006698","0.8692897368643949","0.87091152162812","0.22975213825702667","0.862","0.8633820683984139","0.864764136796828"
"earnest-sweep-31","0.00016642420497931938","0.05","0.0005276410449478293","0.00007295511699573035","1.2533825635910034","0.9999997859509232","0.8666531357824234","0.8690382649145776","0.8714233940467319","0.22584591805934903","0.858","0.8638530771246438","0.8697061542492877"
"absurd-sweep-30","0.0001683594345023422","0.05","0.0006324950245007374","0.00023768206322672143","1.2967915534973145","0.9999997646688128","0.8703064745281104","0.8717315091900233","0.8731565438519362","0.25989317893981934","0.856","0.8601458859475044","0.8642917718950088"
"solar-sweep-29","0.0001761340249547043","0.05","0.0006043709794195074","0.00007376925627580763","1.1946346759796145","0.9999996618354944","0.869291658209864","0.8693630476547807","0.8694344370996974","0.17784050107002258","0.858","0.8600723294195747","0.8621446588391495"
"drawn-sweep-28","0.00019848794564643368","0.15","0.00043182007340996856","0.00023887018798594676","1.2580480575561523","0.9999997871708328","0.8694946214735133","0.8687945214556203","0.8680944214377272","0.22956135869026184","0.858","0.8615930744867895","0.8651861489735788"
"stilted-sweep-27","0.0002442150379801868","0.05","0.0005246101710822415","0.00018421966147607824","1.2509493827819824","0.9999996871180944","0.8589405317637507","0.8642856537705115","0.8696307757772722","0.22390276193618777","0.846","0.8540314741741012","0.8620629483482024"
"whole-sweep-26","0.00016346548850578602","0.05","0.00046969054291335385","0.0001399601801825205","1.2333163022994995","0.9999996994289724","0.8707124010554089","0.8705626130350853","0.8704128250147617","0.20970672369003296","0.866","0.868385375108651","0.870770750217302"
"comfy-sweep-25","0.0002224809312893252","0.15","0.0006081249718050577","0.00008832032432871526","1.2065823078155518","0.9999996366734524","0.8739598132737975","0.8717928964706099","0.8696259796674223","0.18779191374778748","0.862","0.8617417873677742","0.8614835747355483"
"dashing-sweep-24","0.0002598144664121359","0.15","0.0006592586130925776","0.00028953173346112435","1.1698153018951416","0.9999997634732488","0.8595494215546986","0.8626705817671857","0.8657917419796728","0.1568458378314972","0.85","0.857997874818794","0.8659957496375881"
"elated-sweep-23","0.00019176991462180817","0.15","0.0006233004377031208","0.00016762011185605182","1.2471330165863037","0.9999998417602513","0.8654353562005277","0.8644987388924261","0.8635621215843245","0.22084736824035645","0.852","0.8553302562918419","0.8586605125836837"
"glamorous-sweep-22","0.00015736127844927008","0.05","0.0006251565519821329","0.00012620312763980847","1.2948492765426636","0.9999997354766452","0.8696975847371625","0.8692484662949906","0.8687993478528189","0.2583942711353302","0.876","0.8699968256657815","0.8639936513315629"
"sleek-sweep-21","0.00019535283720570565","0.05","0.0003885063130137792","0.00016864658263875432","1.293495535850525","0.9999996981750462","0.8658412827278262","0.867381185149525","0.8689210875712239","0.2573482096195221","0.858","0.8641325240630038","0.8702650481260077"
"treasured-sweep-20","0.00017767079855317484","0.15","0.0005248771785913402","0.00008902132862033931","1.217942237854004","0.999999906520128","0.8768012989648873","0.875844382170859","0.8748874653768306","0.1971627175807953","0.866","0.8656852146910451","0.8653704293820902"
"kind-sweep-19","0.0001563897367427454","0.05","0.0005421334246923259","0.0000836334925399832","1.2334067821502686","0.9999996833736664","0.8636086868276842","0.8674344379057827","0.8712601889838811","0.20978009700775144","0.864","0.8642498557642725","0.864499711528545"
"giddy-sweep-18","0.0002749967182997188","0.05","0.00070224645040699","0.00019682968867496545","1.243940830230713","0.9999999522971186","0.8652323929368785","0.8679364422579388","0.870640491578999","0.21828439831733704","0.852","0.8559955112248913","0.8599910224497825"
"glamorous-sweep-17","0.00026774177750356766","0.05","0.0004491688888284332","0.00018272085920950697","1.258541226387024","0.9999997400996722","0.8648264664095798","0.8648177007883009","0.8648089351670218","0.2299532890319824","0.846","0.853129423082208","0.8602588461644161"
"charmed-sweep-16","0.0002667473283804027","0.15","0.0006324316704263978","0.00016513141811077718","1.2088277339935305","0.9999997480395694","0.8660442459914756","0.8696772351669768","0.8733102243424782","0.18965110182762143","0.854","0.8567128680949025","0.8594257361898052"
"earnest-sweep-15","0.0002161478320789451","0.15","0.0004898197182883126","0.0001325299235436679","1.2543705701828003","0.9999997546286276","0.8680738786279684","0.8705712947345644","0.8730687108411604","0.22663390636444092","0.868","0.8701148080648551","0.8722296161297102"
"sandy-sweep-14","0.00025138353964077774","0.05","0.0006104068127475632","0.00018882783372460655","1.242396116256714","0.9999996812629312","0.8699005480008118","0.8714673528319976","0.8730341576631833","0.2170419245958328","0.842","0.8505037113420824","0.8590074226841649"
"playful-sweep-13","0.0002116069282335161","0.15","0.0004813336219729664","0.000207827758889962","1.216094732284546","0.9999996895562948","0.8747716663283945","0.8726577308548711","0.8705437953813477","0.19564473628997803","0.87","0.8711738218864525","0.8723476437729051"
"cerulean-sweep-12","0.0002013055463850012","0.05","0.0005054772599050517","0.00011518644335847606","1.2515194416046145","0.999999805286292","0.8713212908463568","0.871958289036445","0.8725952872265332","0.22435837984085083","0.868","0.8691873205423144","0.8703746410846288"
"rich-sweep-11","0.00020828761191408663","0.05","0.00041566473981159913","0.00009219566231308988","1.2462375164031982","0.9999997755631368","0.8699005480008118","0.8690369039617807","0.8681732599227496","0.22012901306152344","0.866","0.8707121795888338","0.8754243591776677"
