"Name","adamw_lr","batch_size","dropout_rate","muon_lr","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"ancient-sweep-314","0.0008060873128250838","32","0.15","0.0002482067049674197","0.000010850252074281647","1.2945959568023682","0.9999997240678582","0.8684798051552669","0.872792534467155","0.8771052637790432","0.25819864869117737","0.85","0.8590250013306595","0.8680500026613192"
"lunar-sweep-313","0.0008431484922530932","32","0.15","0.0004632282893963792","0.00024491502573158804","1.1945457458496094","0.999999729175716","0.8737568500101481","0.8775298992907219","0.8813029485712957","0.17776599526405334","0.848","0.8596929026019263","0.8713858052038527"
"magic-sweep-312","0.000841553269637378","64","0.1","0.000964813182583035","0.00008952485529963245","1.164197325706482","0.9999996181562498","0.8674649888370205","0.871993664654988","0.8765223404729553","0.15203189849853516","0.862","0.8660898569459302","0.8701797138918604"
"sage-sweep-311","0.00007432414118364706","32","0.1","0.0009833283599140514","0.000016022383001394827","1.1831656694412231","0.9999996114288716","0.869291658209864","0.8707730576291652","0.8722544570484664","0.16819366812705994","0.848","0.8554961595321494","0.8629923190642989"
"sweet-sweep-310","0.0009152678601071698","64","0.05","0.0005143713367149436","0.000011918796571981992","1.2850847244262695","0.9999995326825074","0.8672620255733712","0.8705762043590435","0.8738903831447157","0.25082463026046753","0.852","0.8559866562385443","0.8599733124770886"
"ethereal-sweep-309","0.000206367750900464","32","0.1","0.0006960715432717484","0.0000513896568167677","1.1694176197052002","0.9999995660959144","0.8644205398822813","0.8682632913118371","0.8721060427413929","0.15650580823421478","0.842","0.8581113361440189","0.8742226722880378"
"zany-sweep-308","0.0006970735414204227","32","0.2","0.0004687735000769049","0.0005538325177479697","1.2379931211471558","0.99999979814681","0.8755835193829917","0.8787191552202444","0.881854791057497","0.21349158883094788","0.864","0.8699479873888938","0.8758959747777875"
"fresh-sweep-307","0.0009671080988222436","32","0.1","0.000941162042485438","0.0001324785234655317","1.1271930932998655","0.9999996563545888","0.8682768418916176","0.8731230951342188","0.8779693483768201","0.11973058432340622","0.842","0.8556995399850994","0.8693990799701988"
"firm-sweep-306","0.00014433181461324197","32","0.1","0.0007582974094194715","0.0002974451959143004","1.2327097654342651","0.99999971174739","0.8648264664095798","0.866000127287931","0.867173788166282","0.20921486616134644","0.854","0.8594119606572683","0.8648239213145366"
"dainty-sweep-305","0.0001784515786694258","32","0.15","0.0004820558636825755","0.0006111144331834039","1.2228084802627563","0.9999997206260902","0.8745687030647453","0.878752462795238","0.8829362225257307","0.2011502981185913","0.864","0.8666106856357215","0.869221371271443"
"fluent-sweep-304","0.0002739879844434205","32","0.1","0.0002908364514736475","0.00007833736394875683","1.347354531288147","0.9999997072776609","0.8640146133549828","0.8702352835775884","0.8764559538001941","0.29814302921295166","0.848","0.8552950612600194","0.862590122520039"
"iconic-sweep-303","0.00008384564693068172","32","0.1","0.00036729117100941274","0.000028645350146722226","1.309178352355957","0.9999997015639536","0.8705094377917597","0.8726764686689032","0.8748434995460469","0.2693997621536255","0.86","0.8601252684554097","0.8602505369108195"
"rare-sweep-302","0.00006460785067332098","32","0.05","0.0005319661311431154","0.000013024939567188525","1.2003604173660278","0.999999752776592","0.8723361071646032","0.8774110998031366","0.88248609244167","0.18262183666229248","0.84","0.8553025149589515","0.8706050299179031"
"flowing-sweep-301","0.0005284441177559142","256","0.05","0.0007767313635057812","0.0006449910014541023","1.8554894924163816","0.9999990953092344","0.7450781408565049","0.7832858131525395","0.821493485448574","0.6181485652923584","0.73","0.7797842785399615","0.8295685570799229"
"pretty-sweep-300","0.0001143417478886434","32","0.05","0.0002823904823806583","0.00007477955092432731","1.4047619104385376","0.9999997763941166","0.8640146133549828","0.8682313423996478","0.8724480714443129","0.33986783027648926","0.852","0.8585860284604602","0.8651720569209204"
"stoic-sweep-299","0.000519151067336932","32","0.1","0.0002109996411265358","0.0001701188727574605","1.4065319299697876","0.999999787398228","0.865638319464177","0.8692597379626757","0.8728811564611745","0.3411270081996918","0.834","0.8481027066137721","0.8622054132275442"
"sunny-sweep-298","0.000231547260315053","32","0.1","0.0004956913301142466","0.000012545776427725828","1.172834396362305","0.999999778803799","0.8747716663283945","0.8776477689869444","0.8805238716454942","0.15942341089248657","0.85","0.8597110169448097","0.8694220338896195"
"glamorous-sweep-297","0.00042528011151805254","32","0.1","0.0007813948452303002","0.00018105690636243825","1.1795051097869873","0.999999721642392","0.8690886949462148","0.8701387875424094","0.8711888801386041","0.16509497165679932","0.872","0.8713781844962791","0.8707563689925581"
"solar-sweep-296","0.00022891455782099893","32","0.05","0.0004991704339079034","0.0000242134625502234","1.2290490865707395","0.9999996168064808","0.862796833773087","0.8616392955217984","0.8604817572705098","0.20624077320098877","0.846","0.8551221959753051","0.8642443919506103"
"deep-sweep-295","0.00018511450678779636","32","0.15","0.000874452488152413","0.00021108967404733173","1.3090890645980835","0.9999997686934256","0.8713212908463568","0.8733703698313064","0.8754194488162562","0.26933151483535767","0.854","0.8580123723728077","0.8620247447456155"
"winter-sweep-294","0.00006073358590366474","32","0.1","0.00047154556343649107","0.000013371468228451587","1.2503609657287598","0.9999998742767102","0.8759894459102903","0.8774169322977069","0.8788444186851235","0.22343236207962036","0.832","0.8482826071699274","0.8645652143398548"
"young-sweep-293","0.0009979380011133554","32","0.2","0.00048107785574519227","0.00004690616792275499","1.1721745729446411","0.9999996795145222","0.8686827684189162","0.874835229143648","0.8809876898683797","0.15886060893535614","0.856","0.8665397734229988","0.8770795468459976"
"misunderstood-sweep-292","0.00006800392926630593","32","0.1","0.0002836820271503099","0.000011482177956962662","1.4561034440994265","0.9999997538984262","0.8636086868276842","0.8671738352786588","0.8707389837296333","0.37576398253440857","0.852","0.8589616638027655","0.8659233276055309"
"vivid-sweep-291","0.0006997917603037388","32","0.2","0.00045546148792246534","0.00008975020477240669","1.1614255905151367","0.9999997471575138","0.8715242541100061","0.8758729624735382","0.8802216708370703","0.1496481895446777","0.864","0.8702004295613857","0.8764008591227712"
