script,run,epoch1_pearson,epoch1_accuracy,epoch1_combine,epoch2_pearson,epoch2_accuracy,epoch2_combine,epoch3_pearson,epoch3_accuracy,epoch3_combine,test_pearson,test_accuracy,test_combine
nlp_hw3_bert.py,1,3,0.8319660105004243,0.836,0.8339830052502122,0.8633682793522726,0.868,0.8656841396761363,0.8617078124906056,0.844,0.8528539062453028,0.8640569256014624,0.8682768418916176,0.8661668837465399
nlp_hw3_bert.py,1,4,0.8244117631039459,0.814,0.8192058815519729,0.8616808676817106,0.858,0.8598404338408553,0.8623378101690325,0.84,0.8511689050845163,0.8732917223047337,0.8648264664095798,0.8690590943571568
nlp_hw3_bert.py,1,5,0.8419660615940908,0.81,0.8259830307970455,0.8593547706714988,0.85,0.8546773853357494,0.8628657809729838,0.854,0.858432890486492,0.876632254703846,0.8674649888370205,0.8720486217704333
nlp_hw3_bert.py,1,6,0.8399375278083592,0.732,0.7859687639041796,0.8618953187438252,0.856,0.8589476593719125,0.8681439891569416,0.852,0.8600719945784707,0.88168531793476,0.867059062309722,0.874372190122241
nlp_hw3_bert.py,1,7,0.8291297089661975,0.764,0.7965648544830988,0.8571586313688381,0.854,0.855579315684419,0.866335400682411,0.858,0.8621677003412055,0.8769037081704032,0.8694946214735133,0.8731991648219583
nlp_hw3_bert.py,1,8,0.8464300295997153,0.776,0.8112150147998576,0.8724025193267799,0.856,0.8642012596633899,0.8552501483311639,0.834,0.8446250741655819,0.8779244020552033,0.867059062309722,0.8724917321824626
nlp_hw3_bert.py,1,9,0.8534837468540926,0.816,0.8347418734270462,0.8689029899093677,0.864,0.8664514949546838,0.8688337934967144,0.848,0.8584168967483572,0.8727163223039435,0.8666531357824234,0.8696847290431835
nlp_hw3_bert.py,1,10,0.8370573811095027,0.804,0.8205286905547513,0.8448347897827241,0.848,0.846417394891362,0.8598513905083265,0.844,0.8519256952541632,0.8776174539273254,0.8682768418916176,0.8729471479094715
nlp_hw3_bert.py,2,1,0.8253958101649598,0.716,0.7706979050824798,0.8689708917279132,0.846,0.8574854458639566,0.8620813133342702,0.85,0.856040656667135,0.8754626616200221,0.8636086868276842,0.8695356742238531
nlp_hw3_bert.py,2,2,0.8446957062806676,0.768,0.8063478531403339,0.8703681649090842,0.848,0.859184082454542,0.8620822835045497,0.85,0.8560411417522749,0.8798962510738405,0.8696975847371625,0.8747969179055015
