"Name","adamw_lr","adamw_weight_decay","alpha","muon_lr","muon_weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"leafy-sweep-8","0.001165869293970081","0.03785292778591572","0.37540121445680513","0.00024775740678112076","0.07899588636914533","1.356477975845337","0.9999998245396072","0.8684798051552669","0.8758552703302822","0.8832307355052975","0.3048916459083557","0.878","0.8770650676650407","0.8761301353300812"
"glorious-sweep-115","0.0019323687659615289","0.05205191470078379","0.26732613605044186","0.00027312180143877665","0.03660678014022329","1.2914090156555176","0.9999999044465888","0.8680738786279684","0.8758480629775327","0.883622247327097","0.2557338774204254","0.852","0.8666067074315942","0.8812134148631883"
"pretty-sweep-75","0.0011840131242691905","0.043921632447466226","0.4149325324012743","0.00025086662320550227","0.058994946128105616","1.3616069555282593","0.9999998506461848","0.8658412827278262","0.8755288400218613","0.8852163973158963","0.30866560339927673","0.858","0.8710105742832781","0.8840211485665562"
"true-sweep-118","0.0019952649238034643","0.0434062879961579","0.45108877210957743","0.0002394746725641064","0.06158004083602642","1.2390007972717283","0.9999998635944148","0.8674649888370205","0.8754840070951324","0.8835030253532443","0.2143052369356155","0.864","0.8716393143486014","0.8792786286972027"
"effortless-sweep-111","0.0017874268676453396","0.03233384086251924","0.386298257615502","0.00023564224054600569","0.07827511011259788","1.3260750770568848","0.9999998597889704","0.865638319464177","0.8751162970384025","0.8845942746126282","0.28222355246543884","0.836","0.8571610495864985","0.8783220991729971"
"fancy-sweep-100","0.0009153215544435432","0.05290116766724458","0.45608459484312985","0.0003291868787747507","0.03733049082073138","1.3415108919143677","0.9999998841597468","0.8623909072457885","0.8749533111416417","0.8875157150374948","0.29379647970199585","0.862","0.8722568716818132","0.8825137433636264"
"likely-sweep-19","0.0014978873144747466","0.03391467979462351","0.4317512246021731","0.0002794023002080665","0.08314035521484567","1.1882888078689575","0.9999998284018232","0.8621879439821393","0.8748444325735101","0.8875009211648809","0.17251430451869965","0.864","0.875283547306134","0.886567094612268"
"jumping-sweep-80","0.0017672659158292164","0.034120992163063815","0.22895381080229815","0.00034615427477932786","0.036710380165713416","1.2094732522964478","0.999999862713846","0.8676679521006698","0.8748284805985966","0.8819890090965236","0.19018495082855225","0.866","0.8713758352107147","0.8767516704214294"
"robust-sweep-11","0.0010334719344693107","0.051347346018796154","0.32839147752389275","0.0004698098865554235","0.05202869849113834","1.1503301858901978","0.9999998286633968","0.862796833773087","0.8748254767691115","0.8868541197651361","0.14004898071289062","0.868","0.8770650172114698","0.8861300344229397"
"divine-sweep-71","0.001668445193218914","0.041083237455113185","0.19799608583179415","0.00036914020089900393","0.05301367098312477","1.252207636833191","0.999999881316642","0.8684798051552669","0.8747637994320705","0.8810477937088741","0.22490812838077545","0.868","0.866845208238388","0.8656904164767759"
"fanciful-sweep-105","0.0017184996299086071","0.03681611613726496","0.2595833748526811","0.0005492019016668366","0.03347034218758742","1.1564669609069824","0.999999766777504","0.8676679521006698","0.8744906602183238","0.8813133683359778","0.14536958932876587","0.864","0.8698562359758886","0.8757124719517771"
"solar-sweep-20","0.000982057935076761","0.05821312067267127","0.369099130993228","0.00029531704136439755","0.06817020215626263","1.277491331100464","0.9999997925756028","0.8666531357824234","0.8744542457615836","0.8822553557407439","0.24489825963974","0.858","0.8667138691368598","0.8754277382737196"
"good-sweep-12","0.001652528004269811","0.03908722736148634","0.28926246008032563","0.00030144094690857655","0.061523154366912865","1.3261200189590454","0.9999998973806116","0.8658412827278262","0.8743358603163454","0.8828304379048645","0.28225740790367126","0.854","0.8671111011001595","0.880222202200319"
"fiery-sweep-106","0.0017765401391763914","0.06636570054443772","0.1798795163968351","0.0004833393851106441","0.06663864266790494","1.1513471603393557","0.9999997757298662","0.8634057235640349","0.8742941810561862","0.8851826385483376","0.14093273878097534","0.864","0.8629733832626509","0.8619467665253019"
"stellar-sweep-54","0.001699184149553144","0.08271152208379558","0.2006633343123924","0.0003885680024458829","0.07639542797896083","1.13985276222229","0.9999997868564416","0.8623909072457885","0.8735255030491407","0.884660098852493","0.1308991014957428","0.85","0.8609050625961434","0.8718101251922868"
"atomic-sweep-66","0.002039076308599499","0.050857139725142185","0.3818811522212758","0.0003242994861159912","0.058174643802444866","1.272615909576416","0.9999998865394648","0.8684798051552669","0.8734563605705101","0.8784329159857533","0.2410745620727539","0.854","0.8629144326188959","0.8718288652377918"
"fragrant-sweep-122","0.0017536708940984727","0.06017874963951393","0.30612505959825137","0.0002088166813712806","0.04687154889181383","1.2557969093322754","0.999999923851403","0.8652323929368785","0.8734425837717911","0.8816527746067037","0.22777029871940613","0.852","0.8656121342051909","0.8792242684103818"
"feasible-sweep-98","0.0015210671240910138","0.043271100109768215","0.44730174262050065","0.0004887077504599698","0.03544712899419806","1.246223211288452","0.9999998760065922","0.8638116500913334","0.8734227064048883","0.8830337627184432","0.22011756896972656","0.852","0.8611139043689442","0.8702278087378883"
"bumbling-sweep-85","0.0018820190405418004","0.04620677576471059","0.3207784178367177","0.0002224394937120147","0.06145804559176013","1.285157322883606","0.9999999402068516","0.8613760909275421","0.873264729672451","0.8851533684173598","0.2508811354637146","0.86","0.8732499928494881","0.8864999856989764"
"summer-sweep-94","0.0015244579900242244","0.06439347841191231","0.43661810377044424","0.0005054214233731182","0.057040814497387377","1.1207197904586792","0.9999998045257952","0.8686827684189162","0.8731922486954943","0.8777017289720723","0.11397115886211397","0.848","0.8620119734994853","0.8760239469989707"
"divine-sweep-24","0.001534378900382115","0.05453759223575346","0.3949338337924519","0.00026494628156578036","0.037591640126372214","1.335590958595276","0.9999998318578184","0.8623909072457885","0.8731024874802469","0.8838140677147053","0.28937387466430664","0.862","0.8689419016738018","0.8758838033476037"
"stoic-sweep-31","0.0013051341503766405","0.0475365725959751","0.17921388101700084","0.00046870139807306737","0.033570621781984306","1.198589563369751","0.9999998561184642","0.8650294296732292","0.8729705755537206","0.880911721434212","0.18114544451236725","0.868","0.8691402842222639","0.8702805684445277"
"curious-sweep-36","0.0019655756768820684","0.08058670116724424","0.2994605791835284","0.0005539485571596232","0.07626173526319108","1.2188076972961426","0.9999997907539272","0.8636086868276842","0.8729630926498678","0.8823174984720514","0.1978731155395508","0.856","0.8655188882976765","0.875037776595353"
