"Name","adamw_lr","adamw_weight_decay","alpha","muon_lr","muon_momentum","muon_weight_decay","test/accuracy","test/combined_score","test/macro_f1","test/pearson","test/weighted_f1","train/batch_perplexity","train/loss","train/raw_grad_norm","val/accuracy","val/combined_score","val/macro_f1","val/pearson","val/weighted_f1"
"comic-sweep-78","0.0017059170792647364","0.051715882503894056","0.05807306958491688","0.00034333641467128794","0.9697002080225736","0.032576766414073824","0.8759894459102903","0.8823352375764775","0.8679233524027792","0.8886810292426647","0.8759724998762461","1.2002301216125488","0.18251334130764008","7.041664384539733","0.846","0.8639957990079372","0.8430539588752235","0.8819915980158743","0.8465235965447481"
"cosmic-sweep-50","0.0016540742075134523","0.04764786267248204","0.04831746457117703","0.00033907047837832975","0.9724695461843612","0.04757990230943964","0.8770042622285367","0.8810314003704449","0.8699714668829425","0.885058538512353","0.8770195068615103","1.2606583833694458","0.23163416981697085","7.421241879838156","0.842","0.8596258866294144","0.8405691746897435","0.877251773258829","0.8426782375201737"
"worthy-sweep-45","0.001235294493698666","0.03917090157733482","0.0626969996688749","0.00034573090125938227","0.9722373517478688","0.031535028039954595","0.8729449969555511","0.8809473712595945","0.8664485938592502","0.8889497455636379","0.8731682295475357","1.131889581680298","0.12388849258422852","4.537749937492124","0.852","0.8674352785923674","0.8454287952181955","0.8828705571847347","0.8530671821436344"
"whole-sweep-43","0.001202882580404435","0.0447595242709866","0.12202687086395904","0.0003599610992680504","0.9716926233384988","0.024260744360204815","0.8727420336919017","0.8807810641400584","0.8669733405067337","0.8888200945882152","0.8730072067604955","1.1373350620269775","0.12868784368038175","4.8826197605726875","0.854","0.8685616149429334","0.8481980607419709","0.8831232298858669","0.8551333205594942"
"dry-sweep-95","0.0016064203464219095","0.04283370379274543","0.046419365120255046","0.0004721658366465088","0.9726059557795949","0.06512882124251833","0.8741627765374467","0.8804855216291578","0.8667582848836067","0.8868082667208689","0.8742997357193798","1.1800707578659058","0.16557446122169495","8.36262272447934","0.862","0.8732099786752137","0.8590514354043067","0.8844199573504274","0.8628318582372032"
"scarlet-sweep-68","0.0012548196265507207","0.0551898994548171","0.04574463832698399","0.00036479261729179864","0.9689493369673888","0.029385279590515793","0.872133143900954","0.8802592802662735","0.866267927322648","0.8883854166315931","0.8725625848645541","1.1174827814102173","0.1110786199569702","4.115877962702572","0.854","0.8669880788146138","0.8488073863368907","0.8799761576292277","0.855449591478545"
"sunny-sweep-93","0.0008715146709157469","0.03674844372947277","0.1005863798092402","0.0007076792987571989","0.9256696132228228","0.0384928774186107","0.8723361071646032","0.8798996544178914","0.8662017294266646","0.8874632016711795","0.8726113798759947","1.2003358602523804","0.1826014369726181","8.042942801854641","0.866","0.8745830485867275","0.8649345273346135","0.8831660971734551","0.8669426183084185"
"jolly-sweep-69","0.0018043131395834632","0.04292077274713588","0.03762676336197554","0.00036978831563702906","0.9715860006863822","0.05574194674364149","0.8735538867464989","0.8798152384896538","0.8664386161573215","0.8860765902328086","0.8738804120431869","1.1755682229995728","0.16175168752670288","8.505714821572193","0.856","0.8684173371331523","0.8512846909416337","0.8808346742663046","0.8571380991062282"
"frosty-sweep-28","0.001170826737352558","0.04342306729585001","0.1194936989177588","0.0004010009294899266","0.9554047127004676","0.039198361695873034","0.8707124010554089","0.8797428353452166","0.8655956064471827","0.8887732696350243","0.8711468992235333","1.11827552318573","0.11178775131702424","3.9293958850586206","0.85","0.8663245505881585","0.8435524839033611","0.8826491011763171","0.851156831472621"
"chocolate-sweep-37","0.0013213525972691812","0.04445685907592562","0.1481798472704188","0.000383234850492211","0.9635904422647792","0.041612284014753254","0.8709153643190582","0.8796027104847561","0.8649919284833288","0.8882900566504539","0.8713710946262252","1.1315841674804688","0.12361857295036316","5.368544561629605","0.85","0.8655138538215421","0.844021711754055","0.8810277076430841","0.8511431388437718"
