"Name","adamw_lr","muon_lr","warmup_ratio","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"valiant-sweep-72","0.00012053629314938256","0.0008831565677976052","0.09431751366825394","0.00005630078789963594","1.2810072898864746","0.9999995707404512","0.8711183275827076","0.8717510109530511","0.8723836943233945","0.2476467192173004","0.842","0.8532159852559911","0.8644319705119822"
"fluent-sweep-57","0.00014993389847602184","0.000862878797838116","0.08612343523452126","0.00001576472266453696","1.271793007850647","0.9999994681694976","0.8723361071646032","0.8715483200846689","0.8707605330047345","0.24042773246765137","0.842","0.8525616889444957","0.8631233778889914"
"dry-sweep-65","0.0001838932593728647","0.0008754246564299882","0.0016994489000960568","0.00001597351344366822","1.2650529146194458","0.9999996803506276","0.869291658209864","0.8713522290700726","0.8734127999302812","0.2351139485836029","0.854","0.8569462300791761","0.8598924601583523"
"atomic-sweep-374","0.0001964783193713115","0.0008745727002761276","0.16770472729558866","0.00006017441499753027","1.253844141960144","0.999999557364876","0.8699005480008118","0.8712926815078599","0.8726848150149079","0.22621417045593264","0.846","0.8523406438603358","0.8586812877206715"
"swept-sweep-95","0.0001712875112772639","0.0008980276307834606","0.17719058246620814","0.000011865427180141813","1.251017451286316","0.9999994825713588","0.8699005480008118","0.8712829153720603","0.8726652827433088","0.2239572107791901","0.842","0.8480356562357562","0.8540713124715124"
"proud-sweep-51","0.00015616868038663656","0.0008465488290595686","0.09249369150413708","0.000014527302026919594","1.288586974143982","0.9999995643536204","0.8713212908463568","0.8712484969761787","0.8711757031060007","0.25354623794555664","0.842","0.8519868142732001","0.8619736285464003"
"zany-sweep-86","0.00015156978841908644","0.0008773777892772181","0.19843947386401192","0.00004531217365773733","1.2598093748092651","0.9999996553632629","0.8727420336919017","0.8712249946001337","0.8697079555083657","0.2309604287147522","0.844","0.847984552195197","0.851969104390394"
"true-sweep-127","0.00014273539812470089","0.0008549417134545825","0.1856446157003704","0.00003920179434016297","1.2636611461639404","0.9999994563180824","0.872133143900954","0.8711048573804036","0.8700765708598531","0.23401309549808505","0.85","0.8517028608226782","0.8534057216453563"
"stellar-sweep-145","0.00020452849475779023","0.0008246770024740986","0.01832330431079736","0.000010539436289940414","1.2759668827056885","0.9999993652145416","0.8707124010554089","0.8709199352515066","0.8711274694476042","0.2437041848897934","0.852","0.858360759115051","0.864721518230102"
"fresh-sweep-371","0.00013173317625068663","0.0008048630112683842","0.07589395347541855","0.00001632666742911702","1.308315992355347","0.9999995763804308","0.8719301806373047","0.870861478963229","0.8697927772891534","0.2687407433986664","0.842","0.8510363849958038","0.8600727699916076"
"swept-sweep-14","0.0001396201829338072","0.0008397288665598372","0.18912451154385143","0.000027856509168171583","1.2852587699890137","0.9999996686887744","0.8729449969555511","0.8708449503294715","0.868744903703392","0.2509600818157196","0.848","0.8505184936523775","0.8530369873047551"
"jumping-sweep-83","0.00013063381503303304","0.0008721371064750824","0.09889860766440756","0.000032741768038362744","1.2832056283950806","0.9999995682593952","0.8705094377917597","0.8707089262394583","0.870908414687157","0.2493613362312317","0.842","0.8515401821564299","0.86108036431286"
