"Name","adamw_lr","adamw_weight_decay","muon_lr","muon_weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"dainty-sweep-50","0.0001445533802561236","0.035000569084568674","0.0005707745259201983","0.03378869862470184","1.2258745431900024","0.9999996460784067","0.8741627765374467","0.8800055999448317","0.8858484233522167","0.20365449786186215","0.858","0.8637271786111156","0.8694543572222312"
"major-sweep-22","0.00014435009532363127","0.03576983962118791","0.0005704668394599181","0.033085456348484414","1.2012089490890503","0.999999808706023","0.8768012989648873","0.8799794920382553","0.8831576851116233","0.1833285689353943","0.858","0.8645642731532998","0.8711285463065995"
"eternal-sweep-136","0.000144145285320332","0.03524715455810216","0.0005704203117282161","0.033020882209913206","1.257055163383484","0.9999999532305552","0.8745687030647453","0.8799778597533723","0.8853870164419992","0.22877174615859985","0.856","0.862475303633859","0.868950607267718"
"dark-sweep-49","0.00014478293841736187","0.03575480420217463","0.0005705847824379115","0.033142480660879776","1.2015886306762695","0.9999994989570972","0.8753805561193424","0.8798937788097538","0.8844070015001652","0.18364454805850983","0.858","0.8644524124259099","0.8709048248518196"
"crimson-sweep-141","0.00014462427822153697","0.035106050171669435","0.0005705254856641545","0.033222298561245166","1.214205980300903","0.9999995935008692","0.8759894459102903","0.8798670706670083","0.8837446954237264","0.194090336561203","0.86","0.8625712250220929","0.8651424500441858"
"stoic-sweep-107","0.00014488986380652247","0.035399206238179284","0.0005706357551930144","0.03351032512622304","1.2284066677093506","0.9999996458371392","0.8768012989648873","0.8798319184643744","0.8828625379638613","0.20571793615818024","0.856","0.8633047873749226","0.8706095747498451"
"fresh-sweep-131","0.00014412668010304","0.03570507996319125","0.0005709904092070152","0.03339230977002604","1.2231940031051636","0.9999996778138888","0.8739598132737975","0.8797223871096167","0.8854849609454358","0.20146548748016355","0.854","0.8608921359197002","0.8677842718394004"
"honest-sweep-41","0.0001445501025929032","0.03520564149350804","0.0005707696336015217","0.03391981730399949","1.2472833395004272","0.9999996753639978","0.8747716663283945","0.8796846216620624","0.8845975769957303","0.22096790373325348","0.854","0.8618324673188176","0.8696649346376353"
"firm-sweep-116","0.00014413144419324483","0.035774896821020384","0.0005705241766111966","0.03391401362774426","1.2152049541473389","0.9999996913606176","0.8747716663283945","0.8796800355605263","0.8845884047926581","0.19491276144981384","0.85","0.8615066525924868","0.8730133051849736"
"amber-sweep-11","0.00014491797919203518","0.035410292644200404","0.0005703523231271351","0.03399773541794176","1.1995530128479004","0.9999995677355352","0.8739598132737975","0.8796467574102125","0.8853337015466274","0.1819489300251007","0.856","0.8614597690100294","0.8669195380200587"
"honest-sweep-6","0.00014493739662841423","0.03510752361589976","0.0005700519897946626","0.03374046289539738","1.2173935174942017","0.9999995924608356","0.8713212908463568","0.8796392079254459","0.887957125004535","0.19671213626861572","0.848","0.8591868904186861","0.8703737808373724"
"vocal-sweep-1","0.00014473140020963954","0.03528041924869282","0.0005702464606833105","0.033882377091504934","1.2020829916000366","0.9999994593035793","0.874365739801096","0.8796384692685197","0.8849111987359434","0.1840558350086212","0.854","0.8619158828955376","0.8698317657910751"
"rural-sweep-85","0.00014483183847698332","0.03525654209293211","0.0005703827862917","0.03334459871695502","1.214850902557373","0.9999996231026976","0.8761924091739395","0.8794943577337309","0.8827963062935221","0.19462133944034576","0.866","0.8674015758507175","0.8688031517014351"
"worthy-sweep-129","0.00014462647217191788","0.03589689620154952","0.0005700337705456282","0.03301904545387262","1.2268439531326294","0.9999996877273136","0.8733509234828496","0.8794446695034047","0.8855384155239598","0.2044449746608734","0.858","0.8647503473394911","0.8715006946789823"
"fancy-sweep-54","0.00014441291137413942","0.03520245536569894","0.0005700889885483131","0.033363888850331196","1.2710328102111816","0.9999997911866826","0.8731479602192003","0.8794310550993312","0.8857141499794621","0.23982980847358704","0.85","0.8601437033440432","0.8702874066880865"
"upbeat-sweep-36","0.00014473531622749414","0.035338785882284465","0.0005703051736899658","0.033949495372040686","1.2211933135986328","0.9999995805768556","0.8719301806373047","0.8793405259731514","0.8867508713089981","0.19982856512069705","0.846","0.8577877292013387","0.8695754584026776"
"floral-sweep-160","0.00014463617217015055","0.0352328883978235","0.0005701818266513831","0.03367513047912263","1.2320257425308228","0.9999996212499148","0.8729449969555511","0.8793351376685778","0.8857252783816046","0.2086597979068756","0.858","0.8624233140368698","0.8668466280737396"
"pretty-sweep-9","0.00014495728139011884","0.03551075384046475","0.00057009327359388","0.033700638897636664","1.193084478378296","0.9999995274569696","0.8735538867464989","0.8793237600329945","0.8850936333194901","0.17654193937778473","0.86","0.865775377332912","0.8715507546658239"
"chocolate-sweep-16","0.00014421370552978604","0.03529400254496456","0.0005705465627276672","0.033144981534543205","1.2318320274353027","0.9999996923757009","0.8731479602192003","0.8792861241101924","0.8854242880011843","0.20850245654582977","0.856","0.8639446195134066","0.8718892390268134"
"breezy-sweep-162","0.00014434430178554805","0.03586972614220482","0.0005702183319154326","0.03358939496576419","1.1948988437652588","0.9999998612591732","0.874365739801096","0.8790845311728088","0.8838033225445215","0.17806150019168854","0.864","0.867075530936319","0.870151061872638"
"pious-sweep-109","0.00014437952082753486","0.03566889599015093","0.0005701873210803763","0.03376655866736891","1.2209210395812988","0.9999995992764896","0.8737568500101481","0.8790430251235211","0.884329200236894","0.19960550963878632","0.854","0.8622872844904178","0.8705745689808356"
"stellar-sweep-140","0.00014425679270957712","0.03581961187006538","0.0005701217273835254","0.03350664586869252","1.2102928161621094","0.9999995643858604","0.8739598132737975","0.8789824600251726","0.8840051067765478","0.19086234271526337","0.858","0.8627551645419284","0.8675103290838567"
"revived-sweep-79","0.00014480689573454162","0.035486817156150416","0.0005700356637149093","0.03366203187071002","1.204905390739441","0.9999995963731644","0.8729449969555511","0.8789441220039494","0.8849432470523478","0.18640103936195376","0.854","0.8593993280416186","0.8647986560832372"
"firm-sweep-96","0.00014486843634179005","0.03581333132207101","0.0005708964002394888","0.033204028835654174","1.2348934412002563","0.9999997451236728","0.8715242541100061","0.8789222063583761","0.8863201586067463","0.21098466217517853","0.856","0.8640018984878752","0.8720037969757506"
