"Name","adamw_lr","dropout_rate","muon_lr","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"dry-sweep-12","0.0001266118276845346","0.16129135534662725","0.0005988906039941796","1.700332760810852","0.9999999833333189","0.8788309316013801","0.8787201252921462","0.8786093189829121","0.5308239459991455","0.868","0.8642966568643186","0.8605933137286371"
"eternal-sweep-21","0.0001349560015633437","0.1652046318413331","0.0005164747737826744","1.5651261806488037","0.9999997564169296","0.8729449969555511","0.8762723988426411","0.879599800729731","0.44796645641326904","0.866","0.8673407596700579","0.8686815193401157"
"dazzling-sweep-20","0.0001015504898542814","0.17181600151004928","0.0007077431706643291","1.2632580995559692","0.9999998642352412","0.8701035112644612","0.8746869490995514","0.8792703869346415","0.2336941808462143","0.854","0.8591278566026583","0.8642557132053167"
"royal-sweep-9","0.0001271841130533883","0.09250225751201122","0.0005743127360225515","1.356366753578186","0.9999999771093322","0.8707124010554089","0.8740063576803236","0.8773003143052385","0.30480965971946716","0.856","0.8600586444065161","0.8641172888130323"
"fresh-sweep-4","0.00013322110031401243","0.052577830822317456","0.0008734989385344281","1.431997537612915","0.9999998235168802","0.8717272173736553","0.8739674026863737","0.876207587999092","0.359070360660553","0.87","0.8650027655411849","0.8600055310823698"
"royal-sweep-10","0.00011659291547470826","0.05772648210516421","0.0007456068667393354","1.5042495727539062","0.9999999469808232","0.8705094377917597","0.873009894466857","0.8755103511419543","0.4082940816879273","0.854","0.8557086156379932","0.8574172312759865"
"lemon-sweep-14","0.00010659841222840388","0.1740358817913315","0.0009137293960819058","1.2441543340682983","0.9999997713688572","0.8638116500913334","0.870591578541825","0.8773715069923165","0.21845602989196777","0.86","0.8615063861973391","0.8630127723946783"
"twilight-sweep-15","0.00014295642673973672","0.07073294821589968","0.001147793640340771","1.268648624420166","0.999999799675492","0.8727420336919017","0.869547174495872","0.8663523152998424","0.23795223236083984","0.85","0.8500175849579199","0.8500351699158399"
"astral-sweep-1","0.00012022261366787406","0.05652568427221085","0.0007364535681772705","1.1539684534072876","0.9999999402907516","0.8625938705094378","0.8685953325024363","0.8745967944954347","0.14320674538612366","0.86","0.8647832388708669","0.8695664777417338"
"glowing-sweep-13","0.00013180605195764665","0.1967372675234315","0.0006913898449516783","1.3856823444366455","0.9999998113200224","0.8680738786279684","0.8684625693939272","0.868851260159886","0.3261927366256714","0.86","0.8583333690394002","0.8566667380788002"
"dauntless-sweep-3","0.000131804572415245","0.09145179885899188","0.001075446562954704","1.7046092748641968","1.0000000591118294","0.8688857316825654","0.8683305073240379","0.8677752829655104","0.5333359837532043","0.844","0.8521421382289485","0.8602842764578971"
"floral-sweep-7","0.00014173539422991565","0.1573357233889548","0.00077822055129521","1.530721664428711","0.9999999245108084","0.8638116500913334","0.8674611914765351","0.8711107328617367","0.4257392883300781","0.846","0.8537307791549038","0.8614615583098075"
"dauntless-sweep-6","0.00013919211827560467","0.07762234291438207","0.0006336044453891714","1.4465162754058838","0.9999998655167418","0.8625938705094378","0.8656095649201361","0.8686252593308343","0.3691580593585968","0.858","0.8612964635498539","0.8645929270997079"
"devoted-sweep-18","0.00013287335821751258","0.1544364099914533","0.0005977371088449683","1.6514384746551514","0.9999998725192626","0.865638319464177","0.8650238369793601","0.8644093544945431","0.5016466975212097","0.85","0.8540743893809125","0.858148778761825"
"stellar-sweep-11","0.0001278813745732171","0.05361308033772753","0.000887493028374771","1.287685751914978","0.9999997362196054","0.8611731276638929","0.8647412077969681","0.8683092879300432","0.2528465688228607","0.852","0.8538285370223615","0.855657074044723"
"golden-sweep-23","0.00013421108402510398","0.147847571719127","0.0010448958088245888","1.47279155254364","0.999999855020912","0.8609701644002435","0.8645776941300507","0.8681852238598579","0.3871595859527588","0.85","0.8544314700300011","0.8588629400600022"
"effortless-sweep-5","0.0001404021526186803","0.057471912008043136","0.0008808855059330615","1.3859350681304932","0.9999997374316926","0.8603612746092957","0.8620543931535503","0.8637475116978048","0.3263750374317169","0.848","0.853295137311356","0.8585902746227119"
"peachy-sweep-17","0.00012902958378237104","0.13666959094077316","0.0014185903837337715","1.5539501905441284","0.9999999470170778","0.8569108991272579","0.8607765845143345","0.8646422699014109","0.44080018997192383","0.86","0.8642632324990054","0.8685264649980109"
"solar-sweep-19","0.00013117019517421707","0.11049778478206004","0.0008817774808482697","1.339067816734314","0.999999817336351","0.8646235031459306","0.8605670787386384","0.8565106543313462","0.291973739862442","0.854","0.8551432417525946","0.8562864835051893"
"earnest-sweep-2","0.00010234595381237568","0.18590800493439785","0.001180086184405278","1.2760976552963257","0.9999998704067108","0.8585346052364522","0.8599428366759185","0.861351068115385","0.24380671977996823","0.848","0.8503410144039377","0.8526820288078755"
"rare-sweep-16","0.0001257778320406393","0.1617949202500008","0.0016840232510959526","1.5123510360717771","0.9999998501775308","0.8607672011365943","0.859580816415142","0.8583944316936896","0.41366541385650635","0.832","0.834074558071687","0.836149116143374"
"wise-sweep-22","0.00013143445470512584","0.14149489674026342","0.001828572860955241","1.7563084363937378","0.999999874700397","0.853257560381571","0.8508981214446949","0.8485386825078189","0.5632140636444092","0.822","0.8303167257841202","0.8386334515682405"
"woven-sweep-8","0.00010129502501699296","0.07700576673818892","0.0018496104850191015","1.6506017446517944","0.9999999321811088","0.8485894053176375","0.8415403829637824","0.8344913606099273","0.5011399388313293","0.84","0.8382309058779731","0.8364618117559461"
