"Name","adamw_lr","muon_lr","batch_perplexity","best_val_accuracy","raw_grad_norm","train_loss","val_accuracy","val_correct"
"denim-sweep-33","0.0005052609045576744","0.001138909269511659","1.1179521083831787","0.7916429249762583","1.9078525288657984","0.1114986091852188","0.7916429249762583","20840"
"dazzling-sweep-32","0.0004479159226107096","0.0019355832317232164","1.1037917137145996","0.7769420702754036","1.2792196699716842","0.09875127673149107","0.7769420702754036","20453"
"lilac-sweep-31","0.0002444644770159812","0.000990539050578031","1.1568684577941897","0.771661918328585","3.478482899122426","0.14571672677993774","0.771661918328585","20314"
"curious-sweep-39","0.0012591459919480295","0.0012864032672853915","1.1229195594787598","0.7694207027540361","2.7800247615821","0.11593201011419296","0.7694207027540361","20255"
"comic-sweep-8","0.00064383127125014","0.001560952985447449","1.1717835664749146","0.7582526115859449","1.8835452654000997","0.15852701663970947","0.7582526115859449","19961"
"autumn-sweep-25","0.0018121367835932224","0.0005664194990178859","1.1322178840637207","0.7560493827160494","3.436968254902343","0.12417840957641602","0.7560493827160494","19903"
"clear-sweep-35","0.0005077441746685924","0.0006534890194244738","1.1932203769683838","0.7522507122507123","5.298045581965993","0.1766558438539505","0.7522507122507123","19803"
"sleek-sweep-42","0.0013111836194003767","0.001783593842013712","1.1344633102416992","0.7513390313390313","1.2278011953319972","0.12615972757339478","0.7513390313390313","19779"
"bright-sweep-9","0.0004336624872439989","0.0005721720058400982","1.1540400981903076","0.732079772079772","3.7157790113785767","0.1432689130306244","0.732079772079772","19272"
"soft-sweep-5","0.0004269011866005923","0.0008193233099485903","1.2259753942489624","0.7283190883190883","6.583257925906901","0.20373673737049103","0.7283190883190883","19173"
"clear-sweep-3","0.0001586181293475357","0.0008184364246149671","1.1401383876800537","0.7282051282051282","3.7569033075393974","0.13114961981773376","0.7282051282051282","19170"
"logical-sweep-4","0.0003015702364466377","0.0009182451958183848","1.2389758825302124","0.7237606837606838","6.000669922907411","0.21428503096103668","0.7237606837606838","19053"
"feasible-sweep-11","0.0002502719771727608","0.0012585508069587138","1.16703999042511","0.7216714150047483","2.560156078551494","0.15447065234184265","0.7216714150047483","18998"
"ruby-sweep-17","0.0004763651622072352","0.000808590632807012","1.2031962871551514","0.7166951566951567","3.761195237025162","0.1849815845489502","0.7166951566951567","18867"
"hearty-sweep-20","0.0012854125697518046","0.0002793415450137383","1.185501217842102","0.7124786324786325","12.548542322038738","0.17016570270061493","0.7124786324786325","18756"
"volcanic-sweep-36","0.001859131541279522","0.0011528143298519193","1.1398931741714478","0.7114150047483381","1.9939743704360584","0.13093458116054535","0.7114150047483381","18728"
"deft-sweep-27","0.0017935993356397106","0.000527151784638616","1.1905467510223389","0.7100094966761633","6.998791923255572","0.17441268265247345","0.7100094966761633","18691"
"charmed-sweep-16","0.000456670887755352","0.00031978530861793893","1.2293312549591064","0.7054890788224122","22.07904446960993","0.20647032558918","0.7054890788224122","18572"
"lively-sweep-41","0.00021734386950776968","0.0006964435718260043","1.2296733856201172","0.7045394112060779","14.764769961766207","0.2067485749721527","0.7045394112060779","18547"
"astral-sweep-18","0.0003558887330401613","0.0002944606599051766","1.1896439790725708","0.7005887939221273","10.452860920707971","0.1736540049314499","0.7005887939221273","18443"
"sunny-sweep-6","0.0002354036912239307","0.0005864697752487417","1.18525493144989","0.6958784425451092","5.8609482840815454","0.16995786130428314","0.6958784425451092","18319"
"worldly-sweep-14","0.001743250431477831","0.000186481515379997","1.2350642681121826","0.6934093067426401","8.966200458021152","0.2111230343580246","0.6934093067426401","18254"
"fluent-sweep-7","0.0002085722548555651","0.0009146164862673808","1.1613142490386963","0.6924976258309592","3.151018264754405","0.14955230057239532","0.6924976258309592","18230"
"lunar-sweep-28","0.0004290734870089047","0.00022310050995396103","1.2373392581939695","0.6880151946818613","19.998172708222697","0.2129633277654648","0.6880151946818613","18112"
"zesty-sweep-22","0.000863429520378213","0.00037002088723061107","1.2239824533462524","0.6864957264957265","13.085133286508906","0.20210987329483032","0.6864957264957265","18072"
"lucky-sweep-38","0.00016939551263085243","0.0008068217952699694","1.17270028591156","0.6834567901234568","5.366760785203138","0.1593090295791626","0.6834567901234568","17992"
"glowing-sweep-24","0.0007167851477974018","0.00032092729421184617","1.225507736206055","0.6768850902184236","10.50647701535415","0.20335523784160617","0.6768850902184236","17819"
"silver-sweep-23","0.000886702034943174","0.0001905779684583387","1.2279988527297974","0.6750237416904084","13.837078007327948","0.20538583397865295","0.6750237416904084","17770"
"silver-sweep-2","0.00015509205389597095","0.0008589612814718453","1.1935495138168335","0.6744919278252611","4.694771325155138","0.17693158984184265","0.6744919278252611","17756"
"fast-sweep-10","0.00018391696369739945","0.0002854995324090492","1.2182462215423584","0.6632858499525166","13.968072094130928","0.19741226732730863","0.6632858499525166","17461"
"feasible-sweep-34","0.0005489712020314048","0.00017135807439983897","1.236931562423706","0.6572079772079772","15.12269308830063","0.21263381838798523","0.6572079772079772","17301"
"dazzling-sweep-30","0.0010124166748786349","0.00019068449665956096","1.236208438873291","0.6567901234567901","20.90381585975165","0.2120489776134491","0.6567901234567901","17290"
"fallen-sweep-37","0.0004171124127852924","0.00024292812631299316","1.2105493545532229","0.6525735992402659","11.658540197086095","0.19107425212860107","0.6525735992402659","17179"
"desert-sweep-40","0.0009757327694541152","0.00022215117049729325","1.2744636535644531","0.6505603038936373","15.05401413321906","0.24252550303936005","0.6505603038936373","17126"
"curious-sweep-1","0.0002184186653518594","0.00022360025626921764","1.2149758338928225","0.6501804368471035","10.472825606049811","0.1947241574525833","0.6501804368471035","17116"
"decent-sweep-13","0.00032884604745574223","0.00024179266178715785","1.2306303977966309","0.644710351377018","11.347340923990616","0.2075265794992447","0.644710351377018","16972"
"peachy-sweep-15","0.00023075030287797864","0.0001971869439341212","1.2580559253692627","0.644710351377018","13.28577240132857","0.22956757247447968","0.644710351377018","16972"
"radiant-sweep-19","0.0005705287640399205","0.00035045286395054263","1.197829246520996","0.6430769230769231","8.03190424932818","0.1805109828710556","0.6430769230769231","16929"
"rich-sweep-12","0.00019581130726942057","0.00022344411310535684","1.251307249069214","0.6404558404558405","10.118279106853103","0.22418877482414248","0.6404558404558405","16860"
"woven-sweep-21","0.00023757339376606116","0.0001511874948199322","1.3301801681518557","0.6142830009496676","16.750372163921366","0.2853144109249115","0.6142830009496676","16171"
