"Name","lr","rnn_type","weight_decay","batch_perplexity","best_val_accuracy","raw_grad_norm","total_params","train_loss","trainable_params","val_accuracy","val_correct"
"lively-sweep-38","0.000917074578041212","GRU","0.005262690737370163","1.0813440084457395","0.8916","2.926194208159488","1130768","0.07820470631122589","1130768","0.8916","4458"
"worldly-sweep-37","0.0014627585555540845","GRU","0.005222937392806323","1.0591322183609009","0.8984","1.812011172417526","1130768","0.05744992941617966","1130768","0.8984","4492"
"skilled-sweep-35","0.001346414844203688","GRU","0.007590581420155067","1.069785475730896","0.8916","2.0352580998298424","1130768","0.0674581453204155","1130768","0.8916","4458"
"lilac-sweep-29","0.001239556043643769","GRU","0.00375683075148692","1.0664868354797363","0.8748","2.680720717195849","1130768","0.06436992436647415","1130768","0.8748","4374"
"still-sweep-26","0.00083471751444678","LSTM","0.006870571258336857","1.0694695711135864","0.8974","2.290305289088398","1127698","0.06716288626194","1127698","0.8974","4487"
"brisk-sweep-20","0.0008991942539588532","LSTM","0.008544324746646717","1.0668823719024658","0.9074","2.114260975818252","1127698","0.06474076956510544","1127698","0.9074","4537"
"laced-sweep-15","0.0011109992592597444","LSTM","0.0027785617927184405","1.1052191257476809","0.8928","3.1333161600281576","1127698","0.10004367679357529","1127698","0.8898","4449"
"revived-sweep-11","0.0011807027831599365","LSTM","0.005256518060332684","1.0706111192703247","0.8932","2.986162643433127","1127698","0.0682295635342598","1127698","0.8858","4429"
"easy-sweep-10","0.0009308801631037812","GRU","0.00873109566546802","1.0574671030044556","0.894","3.3745559235415943","1130768","0.05587656423449516","1130768","0.894","4470"
"dazzling-sweep-8","0.0014427306534570085","GRU","0.008632945176579294","1.1032143831253052","0.92","2.113390402181931","1130768","0.0982280969619751","1130768","0.92","4600"
"jolly-sweep-7","0.0009845061676362371","LSTM","0.005261782165618473","1.0739954710006714","0.9084","1.8216928544068351","1127698","0.07138579338788986","1127698","0.9084","4542"
"glorious-sweep-4","0.0010282348522623066","LSTM","0.002890065499855032","1.070082426071167","0.9018","2.970424460020381","1127698","0.06773576140403748","1127698","0.9018","4509"
"ancient-sweep-3","0.0011365692272806982","LSTM","0.003107103572478443","1.0747461318969729","0.8918","1.4466647356579905","1127698","0.07208455353975296","1127698","0.8918","4459"
"desert-sweep-2","0.0008685839563576511","LSTM","0.0031450939342014626","1.0628494024276731","0.8814","2.3094833042658376","1127698","0.06095333024859429","1127698","0.8814","4407"
"driven-sweep-1","0.0009398728192882408","RNN","0.003399515967369299","1.140189290046692","0.7506","7.908424232413737","1127074","0.13119426369667053","1127074","0.7506","3753"
