"Name","adamw_lr","adamw_weight_decay","muon_lr","muon_weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"wise-sweep-82","0.0001444070989831402","0.03587814427204642","0.0005705332739157367","0.03364723542977854","1.1331568956375122","0.9999996312794256","0.8812664907651715","0.8819547501377353","0.8826430095102991","0.1250075101852417","0.858","0.8632090362348215","0.8684180724696429"
"different-sweep-80","0.0001482172395210801","0.00025847301949840084","0.000579327947884044","0.03372610083984413","1.1743478775024414","0.999999750477936","0.8792368581286787","0.8819441916624167","0.8846515251961548","0.16071303188800812","0.862","0.8674803213920321","0.8729606427840642"
"vibrant-sweep-55","0.0001454140461906621","0.03948166576081832","0.0005772145041073029","0.04046813098754199","1.138083815574646","0.9999998156703336","0.8776131520194844","0.8815302846223463","0.8854474172252083","0.12934598326683044","0.86","0.8649225184392305","0.869845036878461"
"devout-sweep-35","0.00014203105192341984","0.007292307994355013","0.0005784048389098784","0.028258679425968408","1.1695548295974731","0.9999997649317468","0.8772072254921859","0.8809639967066951","0.8847207679212042","0.1566232293844223","0.85","0.8580189701713479","0.8660379403426959"
"daily-sweep-14","0.00014178638496642538","0.04707720866328152","0.0005789786115534514","0.02790782676069673","1.1733057498931885","0.9999996404178928","0.8784250050740816","0.8809540628502617","0.8834831206264419","0.15982525050640106","0.856","0.8628059054888898","0.8696118109777796"
"icy-sweep-49","0.00014215195559070444","0.03188477144641693","0.000572579622905171","0.02886222676894376","1.1349248886108398","0.9999995994286924","0.8784250050740816","0.880657635255241","0.8828902654364004","0.12656646966934204","0.854","0.8620361567784849","0.8700723135569699"
"ethereal-sweep-77","0.00014776161667019575","0.014527529221189118","0.0005716735391116775","0.0017942483581259215","1.1326717138290403","0.9999996543896476","0.8774101887558352","0.8804747040658415","0.8835392193758478","0.12457916140556335","0.86","0.8643765677196735","0.8687531354393471"
"peachy-sweep-33","0.00014497328705982782","0.009277925010947149","0.0005746412129146905","0.006819900477769758","1.158739447593689","0.9999996327072738","0.8761924091739395","0.8804083382415695","0.8846242673091995","0.1473327279090881","0.85","0.8616802340547616","0.8733604681095232"
"snowy-sweep-84","0.00014051557990292445","0.00022656408340114844","0.0005714737348711077","0.0024159084556021285","1.1580939292907717","0.9999996217252451","0.8770042622285367","0.8804020246162318","0.8837997870039271","0.14677542448043823","0.854","0.8623264114482942","0.8706528228965885"
"blooming-sweep-30","0.00014259691203210098","0.020586502904814737","0.0005762607782031987","0.033111958056060535","1.213882565498352","0.9999999008261112","0.8770042622285367","0.8800963409282514","0.883188419627966","0.19382403790950775","0.864","0.8685260642801136","0.8730521285602271"
"earthy-sweep-67","0.00014214794798233707","0.03410218212062659","0.0005738824055140407","0.04381129176895341","1.1569106578826904","0.9999998286460742","0.8768012989648873","0.8796913235135293","0.8825813480621714","0.14575323462486267","0.858","0.8624753706230712","0.8669507412461424"
"vivid-sweep-26","0.00014835116727889664","0.022886100217447927","0.0005727179879628437","0.035037190693889365","1.1627024412155151","0.9999997514988218","0.8741627765374467","0.879517018425122","0.8848712603127972","0.15074694156646729","0.856","0.8608041554573325","0.865608310914665"
"revived-sweep-42","0.00014833479776857434","0.03428070198287935","0.0005735511086310264","0.0008267748741258463","1.153692603111267","0.9999996137930935","0.8749746295920439","0.8794085246080275","0.8838424196240112","0.14296770095825195","0.848","0.8577927984608729","0.8675855969217456"
"wandering-sweep-37","0.00014543157368393788","0.0012466414570514951","0.000570293128953753","0.00878922913991217","1.1428639888763428","0.9999996818263304","0.8768012989648873","0.8792657735866133","0.8817302482083392","0.1335373818874359","0.856","0.8619113010853171","0.8678226021706342"
"laced-sweep-48","0.00014826803601044103","0.030502896744078564","0.0005718925186191758","0.04992263043541411","1.1269851922988892","0.9999995621582136","0.8759894459102903","0.8792043122353013","0.8824191785603123","0.1195460706949234","0.856","0.8593897754048483","0.8627795508096965"
"divine-sweep-44","0.00014459850501859507","0.04964621448413766","0.0005752163593518901","0.0026122454507968187","1.1540132761001587","0.9999996650623044","0.8768012989648873","0.8790628764155617","0.881324453866236","0.14324569702148438","0.864","0.8640251507620806","0.8640503015241614"
"feasible-sweep-60","0.00014476612017300447","0.01165891763782616","0.0005777808266356434","0.02074346664142417","1.2000759840011597","0.9999996554261557","0.8745687030647453","0.878879914117654","0.8831911251705628","0.18238487839698792","0.854","0.8588988715816738","0.8637977431633476"
"wobbly-sweep-31","0.00014101377227082037","0.04753783857835843","0.0005734043574951981","0.0042893144628053164","1.1540420055389404","0.99999965245665","0.8745687030647453","0.8787277486065683","0.8828867941483913","0.1432705968618393","0.86","0.864361912003314","0.8687238240066281"
"eternal-sweep-65","0.00014592371062882524","0.013230734636871728","0.0005787800001439988","0.046734469907416774","1.1846470832824707","0.9999998187341016","0.8749746295920439","0.878435642665131","0.8818966557382181","0.16944485902786255","0.864","0.867663416003027","0.871326832006054"
"neat-sweep-45","0.00014202113141654056","0.015354010179351752","0.0005702668870489787","0.00892151791878562","1.1355059146881104","0.9999995861239228","0.874365739801096","0.8782393939693798","0.8821130481376636","0.12707827985286713","0.854","0.8617428113148315","0.8694856226296631"
"crisp-sweep-72","0.00014224590260781538","0.0036834783945717433","0.0005743050744607765","0.01611676623033841","1.1570299863815308","0.9999996710103268","0.8751775928556931","0.8782055618430444","0.8812335308303957","0.14585638046264648","0.856","0.8608160344423403","0.8656320688846807"
"snowy-sweep-28","0.00014723525502587063","0.014620003883100996","0.0005795410371587275","0.0007820077677879678","1.1619439125061035","0.9999996948953436","0.8737568500101481","0.8780611497179278","0.8823654494257075","0.1500944048166275","0.866","0.869080330114657","0.8721606602293142"
"still-sweep-11","0.00014116427768876623","0.03927079930308778","0.0005724567791603079","0.011655172322520424","1.1285289525985718","0.9999995248908972","0.8747716663283945","0.8780476751021862","0.8813236838759777","0.1209149807691574","0.852","0.8607609860748193","0.8695219721496388"
"sunny-sweep-85","0.00014594511523252396","0.0009080733851176136","0.000574379972964531","0.03075884256011915","1.1314064264297483","0.999999646996701","0.867870915364319","0.8656078563541374","0.8633447973439557","0.1234615445137024","0.852","0.8604676602722825","0.868935320544565"
"ruby-sweep-4","0.00014395561047217715","0.01215075283462825","0.0005740346234786798","0.01811878894595746","1.1527196168899536","0.9999997137552908","0.8668560990460726","0.8655433460913149","0.8642305931365571","0.1421240270137787","0.85","0.8571351255596726","0.8642702511193452"
"lucky-sweep-43","0.0001491494808822346","0.0070846320096748855","0.0005715902176890527","0.0395847686404244","1.134983777999878","0.9999997030896254","0.8668560990460726","0.8652196537292727","0.8635832084124726","0.1266184151172638","0.842","0.8542958291842226","0.8665916583684453"
"ancient-sweep-17","0.00014131930307649169","0.009443890471991423","0.0005790117309774765","0.005070451063228576","1.1679810285568235","0.999999833569146","0.8658412827278262","0.8649646461062892","0.8640880094847522","0.15527662634849548","0.846","0.855457749857284","0.8649154997145678"
"distinctive-sweep-20","0.00014466442325337017","0.007267942277790857","0.0005781277049781028","0.03856027407505489","1.1325557231903076","0.9999997052617244","0.8666531357824234","0.8648132226046983","0.8629733094269733","0.124476820230484","0.858","0.8636027464373535","0.8692054928747068"
"sunny-sweep-12","0.00014561055890912976","0.022535657418592717","0.0005749200153578115","0.031829228156891286","1.1664010286331177","0.999999641478752","0.867059062309722","0.8647763525693037","0.8624936428288855","0.1539229452610016","0.852","0.8616349314433684","0.8712698628867369"
"vivid-sweep-24","0.00014249776377929022","0.03338195518786523","0.0005789378521563452","0.014356146188788992","1.1628782749176023","0.9999997507978636","0.8650294296732292","0.8645216495845445","0.8640138694958599","0.15089817345142365","0.848","0.8594408514799529","0.8708817029599057"
"dutiful-sweep-21","0.00014233486249487943","0.03632907592142207","0.000575397287381395","0.017031130803241812","1.149561643600464","0.999999682417682","0.8666531357824234","0.8644505924998587","0.862248049217294","0.13938063383102417","0.848","0.8564257288081453","0.8648514576162906"
"misty-sweep-63","0.00014571122947383634","0.013159910981155315","0.0005786110467729129","0.027981388615873393","1.208409547805786","0.9999998360458648","0.8648264664095798","0.8644112559476522","0.8639960454857246","0.18930503726005551","0.856","0.8586207940746258","0.8612415881492516"
"elated-sweep-3","0.0001478195452669857","0.04469454372771622","0.0005704781835162757","0.030375009412748063","1.1997711658477783","0.9999998103803994","0.8648264664095798","0.8643276341243026","0.8638288018390253","0.1821307986974716","0.842","0.8544079749955946","0.8668159499911892"
"fiery-sweep-59","0.0001448209151200562","0.019233888247107978","0.0005752211134658811","0.04981635268942353","1.22779643535614","0.9999997399676318","0.8652323929368785","0.864290703968776","0.8633490150006736","0.20522108674049375","0.854","0.8628669761367278","0.8717339522734557"
"resilient-sweep-5","0.0001474844596752813","0.02811695852444886","0.000578857174194645","0.032417263355104746","1.132923603057861","0.9999995699609696","0.8648264664095798","0.8642557090159357","0.8636849516222916","0.12480158358812332","0.836","0.8508534299608032","0.8657068599216063"
"splendid-sweep-38","0.00014877708892086687","0.030169549153174213","0.0005770322270556511","0.006204752748247922","1.1426481008529663","0.999999658235171","0.8632027603003857","0.8641313489792279","0.8650599376580703","0.1333484798669815","0.846","0.8538206857327337","0.8616413714654675"
"vibrant-sweep-22","0.0001493190193352935","0.012076607828342025","0.0005766546681492588","0.03846105786464418","1.1782439947128296","0.9999997261201172","0.8650294296732292","0.8641161923229561","0.8632029549726832","0.164025217294693","0.86","0.8640224835028407","0.8680449670056816"
"celestial-sweep-23","0.00014895674195689797","0.016834336130660033","0.0005742168403604632","0.03682015033835939","1.1957041025161743","0.9999997311742288","0.8634057235640349","0.8640832546508135","0.864760785737592","0.1787351369857788","0.842","0.8553750100313481","0.8687500200626962"
"brisk-sweep-2","0.0001484947412074546","0.033679745242348014","0.000570231943407149","0.04073914034665619","1.1653447151184082","0.999999763631255","0.8640146133549828","0.8639181057995953","0.8638215982442078","0.15301692485809326","0.854","0.8613679133421592","0.8687358266843185"
"resilient-sweep-83","0.0001470912458106852","0.016673103776776176","0.0005713324045764626","0.039299425273399614","1.1410439014434814","0.9999996374207571","0.8652323929368785","0.8639108987480768","0.8625894045592751","0.13194352388381958","0.846","0.853364206110723","0.8607284122214459"
"decent-sweep-6","0.00014836787862795132","0.004922108976429507","0.0005733549235486385","0.025674619018548225","1.1441727876663208","0.9999997110246004","0.8660442459914756","0.8638366482237119","0.8616290504559483","0.13468199968338013","0.854","0.8619838878839957","0.8699677757679914"
"silver-sweep-53","0.0001417235415743039","0.004351648539145542","0.0005788675989000234","0.03893717262554147","1.220004320144653","0.9999997806696842","0.8666531357824234","0.86375227799275","0.8608514202030766","0.1988544315099716","0.85","0.8557001653946776","0.8614003307893554"
"ancient-sweep-64","0.0001409181006085988","0.03831080782003365","0.000578133118203027","0.03952338709093554","1.1749601364135742","0.999999795942782","0.8644205398822813","0.8637265590151249","0.8630325781479684","0.16123420000076294","0.838","0.8517316108461511","0.8654632216923023"
"dazzling-sweep-19","0.00014129988115353176","0.024148835349412475","0.0005732604026971072","0.029436854725922303","1.1811192035675049","0.9999996862476374","0.8650294296732292","0.8635941790461322","0.8621589284190353","0.1664624810218811","0.854","0.8578220213576957","0.8616440427153913"
"charmed-sweep-62","0.0001400175686941497","0.042455943131796174","0.0005700140671721966","0.004048681477466682","1.169480323791504","0.9999997351829254","0.8644205398822813","0.8634941231704476","0.862567706458614","0.156559556722641","0.846","0.856289825822949","0.866579651645898"
"misty-sweep-50","0.00014489923911987883","0.03548916350026925","0.0005767853700623782","0.007867411837389744","1.121918559074402","0.9999995263504572","0.8642175766186321","0.8634795226609935","0.8627414687033549","0.11504021286964417","0.846","0.8558079068563934","0.8656158137127868"
"playful-sweep-10","0.00014258226730537324","0.04586472294111199","0.0005704165050046576","0.018590358140839657","1.1248981952667236","0.9999995639251112","0.8636086868276842","0.8634126418974073","0.8632165969671304","0.1176924854516983","0.844","0.8556548349465141","0.8673096698930283"
"scarlet-sweep-79","0.00014089199578861425","0.049977101810180925","0.0005746101806040228","0.008656359032615857","1.1190226078033447","0.99999951162278","0.8648264664095798","0.8632497005857751","0.8616729347619703","0.1124555841088295","0.852","0.8565525623035048","0.8611051246070096"
