"Name","adamw_lr","alpha","freeze_layers","muon_lr","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"sunny-sweep-21","0.000009267576372726896","0.1783010130947753","9","0.0007052541190960998","1.4648667573928833","0.999999895039531","0.8629997970367363","0.8683855988529308","0.8737714006691251","0.38176429271698","0.862","0.8663600884246718","0.8707201768493437"
"absurd-sweep-12","0.00006231732083967531","0.18487154329462763","4","0.0001714975756496954","1.5267342329025269","0.999999869455338","0.8579257154455043","0.8679688210321415","0.8780119266187786","0.4231310188770294","0.844","0.858232319638796","0.8724646392775919"
"brisk-sweep-68","0.00010528590920475356","0.05082968905625745","5","0.0008874909564591279","1.230095148086548","0.9999996668809232","0.8621879439821393","0.8677256775933286","0.8732634112045179","0.2070914655923843","0.864","0.8626643746620557","0.8613287493241115"
"likely-sweep-19","0.000016182883504750498","0.13825818391552225","5","0.0005644112605683516","1.4252310991287231","0.9999996616325576","0.8573168256545566","0.8677013232719677","0.8780858208893789","0.35433393716812134","0.856","0.8637135105253374","0.8714270210506748"
"brisk-sweep-35","0.000006443136735890166","0.14536774410788397","4","0.0005328880765184448","1.3915461301803589","0.9999996672566162","0.8599553480819971","0.8676876465452128","0.8754199450084286","0.3304154574871063","0.862","0.865447996325359","0.8688959926507178"
"fresh-sweep-44","0.0000681028769166104","0.12788924272966992","9","0.000942607584933977","1.4598487615585327","0.9999997728336284","0.8607672011365943","0.8673399430202343","0.8739126849038743","0.3783329129219055","0.856","0.8621343541363138","0.8682687082726275"
"dry-sweep-113","0.000048052739350661274","0.16355287467986576","1","0.0001657026508827753","1.476880431175232","0.9999998527080668","0.8591434950274001","0.8671403624750309","0.8751372299226616","0.38993212580680847","0.858","0.8659602602689556","0.8739205205379111"
"revived-sweep-4","0.0001117404533520553","0.17632838154654615","0","0.0004167003653009082","1.4400030374526978","0.9999998375418476","0.8583316419728029","0.8670428272390124","0.8757540125052219","0.36464518308639526","0.868","0.8672942735524327","0.8665885471048654"
"solar-sweep-45","0.00017803871341516285","0.19960369032442693","6","0.00015480403643778265","1.5620098114013672","0.9999998022340444","0.8522427440633246","0.866779240840594","0.8813157376178634","0.44597339630126953","0.84","0.8603385449759777","0.8806770899519555"
"fluent-sweep-83","0.00002655641980128691","0.0111067370490747","2","0.0008820943933526665","1.3476568460464478","1.0000000450582502","0.8621879439821393","0.8666993120586804","0.8712106801352216","0.29836732149124146","0.864","0.8624618794789627","0.8609237589579254"
"pious-sweep-33","0.00017235904718049854","0.03705905360843958","0","0.0008611481922637903","1.576551914215088","0.9999998013640236","0.8615790541911914","0.8661425788852113","0.8707061035792311","0.45524007081985474","0.852","0.8616818104186157","0.8713636208372314"
"brisk-sweep-98","0.00002735265096286118","0.15877448536207725","7","0.0003074431778700717","1.4653035402297974","0.9999997641863898","0.8534605236452202","0.8657034800705785","0.8779464364959368","0.38206246495246887","0.86","0.8673952513590009","0.8747905027180019"
"rich-sweep-71","0.000010331553369678312","0.10877977272483388","8","0.00045676866190994306","1.4149962663650513","0.9999997469261244","0.8516338542723767","0.8656195294787253","0.879605204685074","0.34712687134742737","0.854","0.8643198257740714","0.8746396515481428"
"lemon-sweep-97","0.00023568563127452345","0.006606674160619597","8","0.0008378796274589603","1.1634583473205566","0.9999997777116116","0.8542723766998174","0.8654998027738414","0.8767272288478656","0.15139693021774292","0.86","0.8615247281478131","0.8630494562956261"
"proud-sweep-91","0.00006615526441890987","0.12311431464846669","3","0.00047159410222808823","1.3546061515808103","0.9999996924939722","0.8573168256545566","0.8654649993096739","0.8736131729647911","0.3035108149051666","0.866","0.8663099327065192","0.8666198654130385"
"devout-sweep-59","0.00012865830244145009","0.09596109498381698","5","0.0004998934038335451","1.3350980281829834","0.9999997747137852","0.8516338542723767","0.8654542943750703","0.8792747344777638","0.2890046536922455","0.856","0.8629401440403442","0.8698802880806885"
"fancy-sweep-42","0.000005171840246165945","0.015200468590109527","1","0.0006642411301276033","1.1892672777175903","0.9999998189022692","0.8575197889182058","0.8654014411518841","0.8732830933855624","0.17333734035491943","0.86","0.8623184696878703","0.8646369393757405"
"snowy-sweep-80","0.00006553582540753541","0.1903206183479085","1","0.0007636085463094915","1.4680978059768677","0.99999982468056","0.8617820174548406","0.865203756422176","0.8686254953895112","0.3839675784111023","0.856","0.862477458770361","0.868954917540722"
"glowing-sweep-86","0.000017217463132570727","0.05176530971180773","9","0.0009476096518539372","1.306215763092041","0.9999997191903772","0.8530545971179216","0.8650454254718041","0.8770362538256864","0.2671341896057129","0.854","0.8588970972296759","0.8637941944593519"
"major-sweep-16","0.00005179063384932668","0.1466412904563711","0","0.0008756009327940144","1.3823063373565674","0.9999998031434132","0.8611731276638929","0.8647941151143166","0.8684151025647402","0.323753297328949","0.866","0.8660330583277158","0.8660661166554318"
"sweepy-sweep-29","0.0000060242583514369854","0.196556101209766","3","0.0004604788716652157","1.5073058605194092","0.9999998268784424","0.8573168256545566","0.8647098273757873","0.872102829097018","0.410323828458786","0.858","0.8639737041571851","0.8699474083143701"
"ethereal-sweep-17","0.000011027760240682217","0.08436601598494636","7","0.00024701886533504575","1.43015456199646","0.9999998351335924","0.851836817536026","0.8646883561348717","0.8775398947337174","0.3577825129032135","0.848","0.8612419957149648","0.8744839914299297"
"copper-sweep-55","0.00002141046506601102","0.149226005760389","1","0.0007388121303432527","1.359289288520813","0.9999996512571198","0.8563020093363102","0.8646497406889432","0.8729974720415762","0.30696195363998413","0.856","0.8632909117055936","0.8705818234111872"
"efficient-sweep-103","0.00003122258006478095","0.09876642916828492","3","0.0009973542881223818","1.6482120752334597","0.999999753532766","0.8587375685001015","0.8644140432150436","0.8700905179299855","0.49969109892845154","0.85","0.8526436006141371","0.8552872012282744"
"stilted-sweep-104","0.0001051868254733107","0.1811142239681183","0","0.00013257022142021136","1.482276201248169","0.9999998888952516","0.8546783032271159","0.8640326830450619","0.8733870628630078","0.393578827381134","0.856","0.8639913986569677","0.8719827973139355"
"vocal-sweep-96","0.00000538837707500684","0.1691107174019442","4","0.00016318428402394935","1.583826780319214","0.9999998561231008","0.8542723766998174","0.8639077397220878","0.8735431027443583","0.4598439037799835","0.846","0.8572838447981839","0.8685676895963678"
"sparkling-sweep-30","0.000005986116283256262","0.03868474469213512","0","0.0008243724473689035","1.1714556217193604","0.999999611287015","0.8558960828090115","0.8637400519317051","0.8715840210543987","0.15824708342552185","0.846","0.8542569998081664","0.8625139996163328"
"true-sweep-89","0.00014504480904146966","0.042634162783553455","9","0.0006558010887836816","1.3423413038253784","0.9999998767606778","0.8485894053176375","0.8637253673445299","0.8788613293714223","0.29441535472869873","0.846","0.8574067410506873","0.8688134821013745"
"peachy-sweep-13","0.00009415770949138153","0.12190845640527928","0","0.0006596664304560517","1.3750067949295044","0.9999997886256308","0.8607672011365943","0.8633937903262996","0.866020379516005","0.3184586465358734","0.87","0.870731053556215","0.8714621071124301"
"devout-sweep-69","0.00017161358165335833","0.195581470240626","3","0.0008594608547852819","1.4222896099090576","0.9999996408840705","0.8552871930180638","0.8629224937991377","0.8705577945802115","0.35226792097091675","0.852","0.8579451024367108","0.8638902048734217"
"tough-sweep-92","0.0000048954830203795646","0.1625959082006797","9","0.0006232859587850896","1.4819892644882202","0.9999997616752752","0.8548812664907651","0.8628846505562666","0.8708880346217681","0.3933852314949035","0.854","0.8640183956994836","0.8740367913989673"
"divine-sweep-110","0.00004821521642591875","0.07372390546674248","0","0.0008690480867297638","1.5016759634017944","0.9999998590647096","0.8522427440633246","0.8624083797315181","0.8725740153997117","0.4065817594528198","0.834","0.8462011353528716","0.8584022707057433"
"stoic-sweep-76","0.000011451072970345352","0.18639880630110783","2","0.00018674089417563197","1.4930477142333984","0.9999998909514198","0.8552871930180638","0.862179951063246","0.869072709108428","0.40081948041915894","0.844","0.8579969305671586","0.8719938611343172"
"hardy-sweep-84","0.00002350280804287896","0.04192031870261681","2","0.00017729426989445806","1.3772937059402466","0.9999999436306396","0.8520397807996752","0.8619720457374973","0.8719043106753193","0.3201204836368561","0.844","0.8580101031106542","0.8720202062213084"
