"Name","adamw_lr","adamw_weight_decay","alpha","muon_lr","muon_momentum","muon_weight_decay","warmup_ratio","test/accuracy","test/combined_score","test/macro_f1","test/pearson","test/weighted_f1","train/batch_perplexity","train/loss","train/raw_grad_norm","val/accuracy","val/combined_score","val/macro_f1","val/pearson","val/weighted_f1"
"deft-sweep-133","0.001588400728901163","0.05268836953331751","0.10292537094389412","0.0006021009326587502","0.9345989500910268","0.056384300074982255","0.15652075526871134","0.8802516744469251","0.8886147206730144","0.8698384450510438","0.8969777668991036","0.8803179668435124","1.204157471656799","0.1857801079750061","12.69921768238056","0.872","0.8794637571517525","0.8634840265220012","0.886927514303505","0.8726035443037974"
"comfy-sweep-184","0.0015808832631686238","0.07052336830868039","0.1951425776049385","0.0006096107813478767","0.9351468578448048","0.057745357888340385","0.2945397735966634","0.8806576009742236","0.8886024212184256","0.8711597946062861","0.8965472414626274","0.8808790523793387","1.237480401992798","0.2130773663520813","13.310556191308477","0.876","0.8829645894080269","0.8761036607765785","0.8899291788160537","0.8766839232946818"
"effortless-sweep-153","0.0017092502438749045","0.07388883054084372","0.14396991310751278","0.0005819269034169581","0.9357184144246168","0.06108413525907459","0.1835684367315361","0.8824842703470672","0.8885995916726837","0.8721292834354681","0.8947149129983002","0.8827365093553762","1.1547740697860718","0.1439047008752823","7.911480544389528","0.874","0.8797104885822224","0.8686846314753293","0.8854209771644449","0.8745435215946843"
"clear-sweep-27","0.0015981281970644608","0.04203071780319248","0.20886398691026","0.0005753749921724851","0.937832792604002","0.03491887227430162","0.1648490685208892","0.8824842703470672","0.8884983784710914","0.8737364284439791","0.8945124865951154","0.882765145416145","1.1617562770843506","0.14993292093276978","8.605232809876172","0.872","0.8776790716368061","0.8700521298560219","0.8833581432736123","0.8731446890229637"
"golden-sweep-10","0.0015133882475123692","0.0813740353791448","0.10851140393776372","0.0006696394916429955","0.9344167109716944","0.06152593808239228","0.2041589487571253","0.8832961234016643","0.8884797082475806","0.8752432835099309","0.8936632930934969","0.8833126109620554","1.5679458379745483","0.4497663974761963","17.24044473723668","0.876","0.8800737268649397","0.8710356288634175","0.8841474537298795","0.876263628739167"
"glamorous-sweep-169","0.001639568679951408","0.0845077405565689","0.24609989754118244","0.0005735894943083426","0.9359416569968572","0.04926954530873546","0.2598903597440865","0.8822813070834179","0.8884114226288602","0.8735703501123738","0.8945415381743025","0.8824416252509967","1.174541711807251","0.16087813675403595","7.6947483699434756","0.876","0.8785418012303832","0.8721002488721369","0.8810836024607662","0.876419753862994"
"celestial-sweep-75","0.0015820844961802305","0.057941372478388584","0.11028817042753204","0.000584934026260697","0.9370242995803348","0.07770269769706686","0.13777457275261804","0.8802516744469251","0.8883804649497697","0.8699832947199363","0.8965092554526144","0.8804270975298512","1.117606282234192","0.11118924617767334","6.386461093365979","0.874","0.8806680889291774","0.8678186916597513","0.8873361778583546","0.874605177603853"
"neat-sweep-94","0.001673014097011789","0.09219929551611317","0.08546893669299949","0.0006194423946636135","0.9362934440278072","0.04569811041762463","0.19216788152123415","0.8837020499289628","0.8883495584477232","0.8739583749092619","0.8929970669664836","0.8838088203713166","1.1638330221176147","0.1517188847064972","9.999145836953293","0.872","0.8777681102075401","0.8644544953474046","0.8835362204150801","0.8724220173134909"
"celestial-sweep-121","0.0014381938064210122","0.06192768328543747","0.3003608670487041","0.0005787980411755991","0.938671510843954","0.03818561787569612","0.1777136608982388","0.8784250050740816","0.8883369597366855","0.8692948840113938","0.8982489143992894","0.8787719169544526","1.4990953207015991","0.40486183762550354","18.11922286850008","0.864","0.87398676826161","0.8586889929134176","0.8839735365232202","0.8649069003173954"
"rural-sweep-122","0.001727164842488167","0.03083002840036089","0.09860218943805656","0.0006114752723019736","0.937073717034368","0.05533164977963398","0.1451638047757254","0.883093160138015","0.8883282281123356","0.8733203621685351","0.8935632960866562","0.8831267092349172","1.12030029296875","0.11359675973653792","6.846566122653097","0.874","0.8790772241535854","0.868384784505437","0.8841544483071706","0.8746292813989045"
"pious-sweep-162","0.00143350137125732","0.08060296922312503","0.07668628027770709","0.0006597402106509348","0.9330818550486502","0.05022081900789731","0.40176483843007416","0.8806576009742236","0.8883111185662134","0.8712679885272138","0.8959646361582031","0.8805902218940133","1.4383643865585327","0.36350658535957336","14.629204429492424","0.88","0.8822595308999428","0.8750029120890047","0.8845190617998857","0.8802778695440947"
"visionary-sweep-20","0.001481792226880878","0.05242981845096595","0.19636504936159876","0.0006637019302633369","0.9316042491103576","0.07101656067662729","0.13934801999350527","0.8806576009742236","0.8882727216448637","0.8722790880375753","0.8958878423155038","0.8808771102936759","1.133279800415039","0.1251159310340881","7.320659372225082","0.886","0.8852343528870019","0.8795772561975791","0.8844687057740039","0.8865555928178689"
"rich-sweep-15","0.0014109865404958249","0.05077920721481439","0.07604883123504409","0.0005871732204560726","0.9320407065270764","0.0631287885164917","0.2226299848931309","0.8818753805561194","0.8882514018934081","0.8737429614381451","0.8946274232306969","0.8820778844532442","1.3072413206100464","0.26791903376579285","17.69095088000371","0.876","0.8801090218551499","0.8768374435041101","0.8842180437102998","0.8764956592956593"
"firm-sweep-67","0.0015562240187362527","0.07650195571743443","0.17782577253761314","0.0006385134616994967","0.9380911806712","0.04532759245955564","0.14218519001410482","0.8804546377105744","0.8881340045209728","0.8702577951176855","0.8958133713313712","0.8804959435113797","1.1569335460662842","0.14577296376228333","7.462617245509308","0.878","0.8808959881874927","0.8718251442570387","0.8837919763749854","0.8785127594675249"
"confused-sweep-36","0.0015244992416487556","0.06844920703882501","0.114074590019277","0.0006370288723237462","0.9284353681878128","0.07265805898226985","0.15362311280535174","0.8800487111832759","0.8881338618666159","0.8693987570261829","0.896219012549956","0.8802734926197573","1.168980836868286","0.1561323255300522","9.991199562111774","0.876","0.8784400107756931","0.8742583031264011","0.8808800215513861","0.8767016396546351"
"revived-sweep-69","0.00148230936672318","0.08231075284555572","0.2900579428684302","0.0006391635155424232","0.9342082041646642","0.05536134851624282","0.2255649201189479","0.8839050131926122","0.8880921810256979","0.874963850200453","0.8922793488587836","0.8839610790180967","1.4079123735427856","0.34210801124572754","18.76903182652344","0.862","0.8740425385392356","0.8574068042638231","0.8860850770784714","0.8625866174501502"
