script,run,epoch1_pearson,epoch1_accuracy,epoch1_combine,epoch2_pearson,epoch2_accuracy,epoch2_combine,epoch3_pearson,epoch3_accuracy,epoch3_combine,test_pearson,test_accuracy,test_combine
nlp_hw3_bert_reg.py,4,0.8290,0.0760,0.4525,0.8664,0.0600,0.4632,0.8648,0.0720,0.4684,0.884202334587362,0.08077937893241323,0.4824908567598876
nlp_hw3_bert_reg.py,5,0.8335,0.2920,0.5628,0.8702,0.4580,0.6641,0.8546,0.5160,0.6853,0.8726685042197613,0.5126852039780799,0.6926768540989205
nlp_hw3_bert_reg.py,6,0.8388,0.3620,0.6004,0.8566,0.4280,0.6423,0.8647,0.3300,0.5974,0.8709989930809783,0.4128272782626345,0.6419131356718064
nlp_hw3_bert_reg.py,7,0.8504,0.1380,0.4942,0.8562,0.3320,0.5941,0.8682,0.4320,0.6501,0.8769504496030728,0.39719910696163996,0.6370747782823564
nlp_hw3_bert_reg.py,8,0.8351,0.5420,0.6885,0.8603,0.5620,0.7112,0.8606,0.5640,0.7123,0.8794930916569846,0.5668763953724376,0.7231847435147112
nlp_hw3_bert_reg.py,9,0.8389,0.4320,0.6354,0.8697,0.3960,0.6329,0.8573,0.2580,0.5577,0.848433457144791,0.43657398010960013,0.6425037186271956
nlp_hw3_bert_reg.py,10,0.8292,0.3480,0.5886,0.8735,0.3020,0.5878,0.8708,0.3340,0.6024,0.8774690491077737,0.33590420133955756,0.6066866252236656
nlp_hw3_bert_reg.py,11,0.8346,0.1180,0.4763,0.8719,0.1660,0.5190,0.8639,0.1460,0.5050,0.8812010384254608,0.17759285569311956,0.5293969470592902
nlp_hw3_bert_reg.py,12,0.8531,0.3540,0.6036,0.8704,0.3200,0.5952,0.8678,0.3180,0.5929,0.8496115207778036,0.34381976862187946,0.5967156446998415
nlp_hw3_bert_reg.py,13,0.8329,0.2880,0.5605,0.8534,0.2880,0.5707,0.8626,0.2880,0.5753,0.8770291257960354,0.28699005480008116,0.5820095902980583
nlp_hw3_bert_reg.py,14,0.8448,0.5540,0.6994,0.8691,0.5140,0.6915,0.8721,0.5380,0.7051,0.8794956283210348,0.5443474731073675,0.7119215507142012
nlp_hw3_bert_reg.py,15,0.8346,0.2880,0.5613,0.8653,0.3060,0.5857,0.8669,0.3120,0.5894,0.8748931900565784,0.2936878425005074,0.5842905162785429
nlp_hw3_bert_reg.py,16,0.8278,0.5600,0.6939,0.8688,0.5560,0.7124,0.8670,0.5560,0.7115,0.8703436084869595,0.5603815709356607,0.7153625897113101
nlp_hw3_bert_reg.py,17,0.8350,0.5640,0.6995,0.8675,0.5680,0.7177,0.8524,0.5640,0.7082,0.867798254019191,0.569311954536229,0.71855510427771
nlp_hw3_bert_reg.py,18,0.8398,0.1500,0.4949,0.8563,0.1500,0.5031,0.8656,0.1480,0.5068,0.8772806137614604,0.1463365130911305,0.5118085634262954
nlp_hw3_bert_reg.py,19,0.8222,0.2820,0.5521,0.8529,0.2740,0.5634,0.8550,0.2160,0.5355,0.8692191160806189,0.2918611731276639,0.5805401446041414
nlp_hw3_bert_reg.py,20,0.8501,0.2800,0.5650,0.8637,0.3300,0.5969,0.8786,0.3580,0.6183,0.881916299464001,0.36046275624112034,0.6211895278525607
nlp_hw3_bert_clf.py,1,0.3261,0.8460,0.5861,0.1654,0.8460,0.5057,0.1373,0.8460,0.4916,0.21819731631312536,0.8494012583722347,0.53379928734268
nlp_hw3_bert_clf.py,2,0.6399,0.8300,0.7349,0.6493,0.8520,0.7507,0.7050,0.8620,0.7835,0.6787097716205921,0.8581286787091537,0.7684192251648729
nlp_hw3_bert_clf.py,3,0.3458,0.8340,0.5899,0.1893,0.8440,0.5166,0.0178,0.8660,0.4419,0.31894632137345214,0.841688654353562,0.5803174878635071
nlp_hw3_bert_clf.py,4,0.5422,0.8360,0.6891,0.6349,0.8340,0.7345,0.6481,0.8360,0.7421,0.6290663182013538,0.848995331844936,0.739030825023145
nlp_hw3_bert_clf.py,5,0.8140,0.2490,0.8600,0.3995,0.8540,0.4113,0.853257560381571,0.4077969846560042
nlp_hw3_bert_clf.py,6,0.6701,0.8240,0.7471,0.7037,0.8140,0.7588,0.6515,0.8340,0.7427,0.6790769030660753,0.8234219606251268,0.7512494318456011
nlp_hw3_bert_clf.py,7,0.2101,0.7980,0.5040,0.1587,0.8500,0.5044,0.3561,0.8460,0.6011,0.34706726953198536,0.8563020093363102,0.6016846394341477
nlp_hw3_bert_clf.py,8,0.8340,0.3011,0.8420,0.3085,0.8540,0.2151,0.8473716257357419,0.31861105395699474
nlp_hw3_bert_clf.py,9,0.5717,0.8560,0.7138,0.3292,0.8580,0.5936,0.0083,0.8380,0.4232,0.5100692862547158,0.850416074690481,0.6802426804725984
nlp_hw3_bert_clf.py,10,0.8320,0.2589,0.8400,0.1245,0.8520,0.1358,0.8473716257357419,0.267612909535613
nlp_hw3_bert_clf.py,11,0.8120,0.4030,0.8540,0.2407,0.8500,0.2348,0.8280901156890603,0.4037977951929212
nlp_hw3_bert_clf.py,12,0.8340,0.0959,0.8500,0.0885,0.8360,0.0836,0.8414856910899128,0.1130208765866233
nlp_hw3_bert_clf.py,13,0.8240,0.3443,0.8460,0.3053,0.2890,0.8440,0.5665,0.2689702329221201,0.8567079358636087,0.5628390843928643
nlp_hw3_bert_clf.py,14,0.1377,0.8440,0.4908,0.4543,0.8540,0.6541,0.4459,0.8500,0.6479,0.45606966381428143,0.8524457073269738,0.6542576855706276
nlp_hw3_bert_clf.py,15,0.7091,0.8360,0.7726,0.7059,0.8480,0.7769,0.7000,0.8520,0.7760,0.6769358063633927,0.8530545971179216,0.7649952017406572
nlp_hw3_bert_clf.py,16,0.8180,0.3345,0.2989,0.8480,0.5735,0.4425,0.8680,0.6552,0.4511477221559126,0.8595494215546986,0.6553485718553056
nlp_hw3_bert_clf.py,17,0.8480,0.0829,0.8620,0.1821,0.8440,0.1888,0.8451390298355997,0.189024908042262
nlp_hw3_bert_clf.py,18,0.6859,0.8320,0.7589,0.5282,0.8360,0.6821,0.6003,0.8500,0.7251,0.6358824800082035,0.8353967931804344,0.735639636594319
nlp_hw3_bert_clf.py,19,0.8440,0.1885,0.8540,0.1163,0.8600,0.1367,0.8289019687436574,0.2235493237486838
nlp_hw3_bert_clf.py,20,0.5129,0.8440,0.6784,0.6828,0.8480,0.7654,0.6594,0.8520,0.7557,0.6560048845135473,0.8520397807996752,0.7540223326566113
