,run,run,epoch1_pearson,epoch1_pearson,epoch1_accuracy,epoch1_accuracy,epoch1_combine,epoch1_combine,epoch2_pearson,epoch2_pearson,epoch2_accuracy,epoch2_accuracy,epoch2_combine,epoch2_combine,epoch3_pearson,epoch3_pearson,epoch3_accuracy,epoch3_accuracy,epoch3_combine,epoch3_combine,test_pearson,test_pearson,test_accuracy,test_accuracy,test_combine,test_combine
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
script,,,,,,,,,,,,,,,,,,,,,,,,,,
nlp_hw3_bert.py,10.5,5.9161,0.8362,0.0103,0.7981,0.0372,0.8171,0.0187,0.8587,0.0064,0.8525,0.0087,0.8556,0.0055,0.8654,0.0065,0.8532,0.0065,0.8593,0.0049,0.8749,0.0037,0.8678,0.0052,0.8714,0.0035
nlp_hw3_bert_clf.py,10.5,5.9161,0.6406,0.2274,0.5719,0.3066,0.7186,0.1551,0.3908,0.2415,0.8048,0.1362,0.4968,0.2527,0.6128,0.2805,0.609,0.2905,0.6491,0.1506,0.556,0.1791,0.8314,0.0563,0.6876,0.0835
nlp_hw3_bert_reg.py,10.5,5.9161,0.8365,0.0079,0.3212,0.1515,0.5789,0.0758,0.8636,0.0072,0.3365,0.1449,0.6001,0.0734,0.8644,0.0068,0.3377,0.152,0.601,0.0761,0.8735,0.0095,0.3566,0.1482,0.6151,0.0731
nlp_hw3_gpt2.py,10.5,5.9161,0.7444,0.0219,0.6783,0.0395,0.7113,0.0244,0.8252,0.0115,0.8179,0.0346,0.8215,0.0207,0.8412,0.0083,0.8578,0.0115,0.8495,0.0072,0.84,0.0057,0.8539,0.0039,0.8469,0.0037
nlp_hw3_roberta.py,10.5,5.9161,0.8414,0.0122,0.7532,0.0399,0.7973,0.024,0.8838,0.0088,0.8718,0.0102,0.8778,0.0081,0.8888,0.0064,0.8792,0.0101,0.884,0.0069,0.8884,0.0047,0.8833,0.0079,0.8859,0.0058
