"Name","lr","rnn_type","weight_decay","batch_perplexity","best_val_accuracy","raw_grad_norm","total_params","train_loss","trainable_params","val_accuracy"
"exalted-sweep-30","0.0011553764740787952","LSTM","0.003669046731431624","1.0953583717346191","0.8426","0.5938806219009111","1127698","0.0910816639661789","1127698","0.8426"
"spring-sweep-28","0.0008447487457437454","GRU","0.009467734355773062","1.1358801126480105","0.8066","0.9468095694908067","1130768","0.12740781903266907","1130768","0.7924"
"northern-sweep-25","0.0008433472138085952","LSTM","0.0064136829381585625","1.19171404838562","0.813","0.8464823607870341","1127698","0.17539262771606445","1127698","0.813"
"wandering-sweep-23","0.0009946362405040684","GRU","0.00903283096730737","1.133393406867981","0.8208","0.9580750761564508","1130768","0.12521615624427795","1130768","0.8208"
"pleasant-sweep-20","0.0013925195029478984","LSTM","0.00352198392305393","1.1645708084106443","0.7974","0.6258667404200787","1127698","0.15235261619091034","1127698","0.7974"
"fanciful-sweep-13","0.0012946584694030871","LSTM","0.0044826359098452655","1.1214278936386108","0.836","0.5408633471776437","1127698","0.1146026998758316","1127698","0.836"
"ethereal-sweep-11","0.0011795539844434012","LSTM","0.007803870422073721","1.110209584236145","0.7612","0.5151405758611473","1127698","0.10454875230789185","1127698","0.7612"
"zesty-sweep-9","0.0012522414193548593","LSTM","0.008759142368510709","1.1694716215133667","0.7712","0.8793591229816881","1127698","0.1565520167350769","1127698","0.7712"
"polished-sweep-6","0.0008091126898855686","LSTM","0.00345415016830242","1.173831820487976","0.7752","0.9431435487774626","1127698","0.1602735072374344","1127698","0.7752"
"magic-sweep-2","0.0014691831373711604","LSTM","0.0034145103537103526","1.1120012998580933","0.8248","0.5694700890585946","1127698","0.10616134852170944","1127698","0.8248"
"sleek-sweep-1","0.0011542498916143169","LSTM","0.0062515458100689154","1.141336441040039","0.784","0.5803084471435822","1127698","0.13219991326332092","1127698","0.784"
