"Name","adamw_lr","dropout_rate","muon_lr","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"peach-sweep-9","0.00028329699082529604","0.05","0.0005066533079379168","0.0002668418012361929","1.056086540222168","0.9999992345777464","0.8737568500101481","0.8782979790418575","0.8828391080735668","0.05457007139921189","0.84","0.8461950253587334","0.8523900507174668"
"summer-sweep-16","0.00017528258798796454","0.15","0.0004035575548054847","0.0002844561911569098","1.116209864616394","0.9999999190782808","0.8759894459102903","0.8772872421462544","0.8785850383822186","0.10993895679712296","0.846","0.8520307342179456","0.8580614684358912"
"stilted-sweep-31","0.00023092297000652657","0.15","0.0004546913884085808","0.00007259797960182156","1.038724660873413","0.8913510977691225","0.8725390704282525","0.8772453982722754","0.8819517261162982","0.03799367696046829","0.844","0.85219324018377","0.8603864803675401"
"robust-sweep-7","0.00028351354289849964","0.05","0.0004174094987860361","0.000211179759477218","1.0536086559295654","0.999999524006862","0.8727420336919017","0.8766699371348219","0.8805978405777422","0.05222099646925926","0.856","0.8575205065728815","0.8590410131457631"
"hearty-sweep-25","0.000204615554560986","0.05","0.0006005197770588697","0.00015214258755008608","1.0609389543533323","0.9999996632732312","0.8709153643190582","0.876627969728389","0.8823405751377198","0.05915430188179016","0.864","0.865030110430596","0.866060220861192"
"comic-sweep-34","0.0002701684738141345","0.05","0.0004450850110142854","0.00012157985911581238","1.067823052406311","0.9999999295165743","0.872133143900954","0.8762873729786261","0.8804416020562983","0.06562205404043198","0.85","0.8563303588005692","0.8626607176011384"
"lucky-sweep-24","0.00018005691119909518","0.15","0.00044764411835675313","0.00007699864014467774","1.0618666410446167","0.9999993725191134","0.8733509234828496","0.8762707331031954","0.8791905427235411","0.06002825126051903","0.854","0.8562918277086944","0.8585836554173888"
"golden-sweep-19","0.00027308586074476117","0.15","0.00047890117955772584","0.00022831108571228775","1.05568265914917","0.9999992849669946","0.8717272173736553","0.8760394259855087","0.8803516345973619","0.054187577217817307","0.852","0.856876573143178","0.861753146286356"
"solar-sweep-4","0.000281562365958384","0.05","0.0003901913761868918","0.00015200293342122772","1.06327223777771","0.9999992768914768","0.8719301806373047","0.8758747001506313","0.8798192196639579","0.06135106459259987","0.844","0.852576539626826","0.861153079253652"
"brisk-sweep-18","0.0001776626281920193","0.15","0.0004206656726218627","0.00024524227236177306","1.045346975326538","0.9999990739501652","0.8729449969555511","0.875687073783174","0.878429150610797","0.0443488284945488","0.84","0.8499467664673279","0.8598935329346558"
"eager-sweep-6","0.0002659818761385209","0.05","0.00039527758668747093","0.0002731824486736026","1.0586631298065186","0.9999997777465788","0.8699005480008118","0.8746895291030985","0.8794785102053851","0.05700690299272537","0.852","0.8521892249906745","0.852378449981349"
"visionary-sweep-8","0.0002695834616157042","0.05","0.0003897298075901663","0.0002086560156285043","1.222559928894043","0.99999971549968","0.869291658209864","0.8743553389404748","0.8794190196710855","0.2009468972682953","0.84","0.8482765385854665","0.8565530771709331"
"confused-sweep-32","0.00023129690372668935","0.05","0.0005137807924241033","0.0001216741508644157","1.046023726463318","0.9999992529819736","0.8727420336919017","0.8742825427381676","0.8758230517844335","0.04499609023332596","0.856","0.8554776419382509","0.8549552838765019"
"grateful-sweep-22","0.0002204602882303519","0.05","0.0004764697891784373","0.00007973790028767522","1.0362144708633425","0.9999991988860084","0.8688857316825654","0.8736131959289852","0.878340660175405","0.03557412698864937","0.864","0.858374709582745","0.8527494191654901"
"light-sweep-3","0.0002645956910678432","0.05","0.00040342268319357454","0.0001490865197283904","1.0558993816375732","0.9999996183722408","0.8690886949462148","0.8733674866773082","0.8776462784084016","0.05439292266964912","0.854","0.8557634821266822","0.8575269642533644"
