"Name","adamw_lr","adamw_weight_decay","alpha","muon_lr","muon_weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"summer-sweep-17","0.0019487744006979552","0.04284453080767308","0.3047603431969827","0.00020275080476688255","0.07491867059125436","1.244884371757507","0.9999998189681704","0.8792368581286787","0.8845586863195635","0.8898805145104483","0.21904267370700836","0.868","0.8777779701070074","0.887555940214015"
"divine-sweep-129","0.0014233327091189266","0.044210024850517886","0.28397837090094286","0.0003707200242771078","0.07840488024477713","1.2429401874542236","0.99999989677353","0.8749746295920439","0.8831695134971175","0.8913643974021911","0.21747970581054688","0.864","0.8732772698044667","0.8825545396089335"
"robust-sweep-47","0.0010022665400032534","0.033035507003011645","0.4133255457846966","0.0003217663949178902","0.061037676478814896","1.2561912536621094","0.9999999446757922","0.8780190785467831","0.8829419431819852","0.8878648078171871","0.22808429598808289","0.866","0.8732646938334381","0.880529387666876"
"kind-sweep-7","0.000928152199576776","0.043025527446689936","0.19117912558302888","0.0004711946398481859","0.03153937159593591","1.1994798183441162","0.999999860623718","0.8798457479196266","0.8827290379259771","0.8856123279323277","0.18188795447349548","0.876","0.8782091954079958","0.8804183908159916"
"quiet-sweep-49","0.001341500123278024","0.06258786732788338","0.21495205669070347","0.00034025209190236217","0.07806151178193554","1.124352216720581","0.9999998361396164","0.8768012989648873","0.8824563241168243","0.8881113492687612","0.11720703542232512","0.872","0.8775862721865264","0.8831725443730529"
"vivid-sweep-96","0.0012891992866388066","0.06844738198481766","0.21023253404876943","0.0003762337146790361","0.0361890586442821","1.2041163444519043","0.9999997847541534","0.8747716663283945","0.8822358371268681","0.8897000079253419","0.18574592471122744","0.868","0.8756096989277378","0.8832193978554757"
"stellar-sweep-45","0.0019256853922429184","0.05847844406385381","0.1579849555697572","0.0003067876408742299","0.03030229363559877","1.3131375312805176","0.9999998148849504","0.8759894459102903","0.8821347979337675","0.8882801499572448","0.2724193334579468","0.856","0.8642808919207119","0.8725617838414238"
"graceful-sweep-58","0.0010120851359424045","0.0810702180099335","0.17694287569858091","0.0004406259300830147","0.04029243410708167","1.0869624614715576","0.999999768410841","0.8725390704282525","0.881905404725026","0.8912717390217995","0.08338701725006104","0.87","0.8798835370307467","0.8897670740614936"
"sandy-sweep-142","0.001201372586772805","0.038675417230432496","0.1981110418804032","0.0003623897384666587","0.04350288918921963","1.1591196060180664","0.9999998977975768","0.8757864826466409","0.8818932779452556","0.8880000732438703","0.1476607471704483","0.876","0.8792459633153185","0.8824919266306369"
"worldly-sweep-138","0.0010534642386229155","0.07733318446244501","0.2331559536146945","0.00021471774407588355","0.07280485844320662","1.3516019582748413","0.9999998806533014","0.8735538867464989","0.8817536502710321","0.8899534137955653","0.3012905716896057","0.876","0.8818632402404023","0.8877264804808047"
