"Name","adamw_lr","adamw_weight_decay","alpha","muon_lr","muon_momentum","muon_weight_decay","warmup_ratio","test/accuracy","test/combined_score","test/macro_f1","test/pearson","test/weighted_f1","train/batch_perplexity","train/loss","train/raw_grad_norm","val/accuracy","val/combined_score","val/macro_f1","val/pearson","val/weighted_f1"
"wise-sweep-30","0.0020255847497467204","0.009552251438395491","0.12437582830595738","0.0006039555083985987","0.9342407606713062","0.08660433189010502","0.29984463818197854","0.8865435356200527","0.8907443823356416","0.876277145228463","0.8949452290512305","0.8864673281852664","1.2435224056243896","0.2179480344057083","13.204509115709412","0.892","0.890616444242285","0.8878084950659129","0.88923288848457","0.8923686185723073"
"rare-sweep-45","0.0017363930387928749","0.07943120871234999","0.2472343618617487","0.0006168365070380237","0.9356913493118888","0.06016248395766","0.19821381001557903","0.8832961234016643","0.890632367834259","0.8739189972451168","0.8979686122668538","0.8835607846352641","1.1276999711990356","0.1201801300048828","7.242151678801108","0.868","0.8792967998884453","0.8604499670266427","0.8905935997768906","0.86854068486842"
"good-sweep-4","0.001957421540001044","0.010216010954064884","0.06331236909533519","0.0007204074549660856","0.934122832653607","0.1315815725086091","0.45553525006526663","0.8839050131926122","0.8901532421866823","0.874860539029474","0.8964014711807525","0.8838701603031306","1.2125707864761353","0.19274267554283145","10.39358393038296","0.882","0.879169630046571","0.8730730730730731","0.8763392600931419","0.8821795795795796"
"generous-sweep-37","0.0014933617310387982","0.06062018523787294","0.3080290771003048","0.0005652816505028626","0.9156784830406788","0.05625908200120494","0.2379613053262139","0.8837020499289628","0.8894981882258568","0.8745887456570092","0.8952943265227509","0.8839397442124733","1.192671775817871","0.17619594931602478","12.846869491101073","0.878","0.8829885212718612","0.8755695719512469","0.8879770425437225","0.8784652645282934"
"desert-sweep-48","0.0015074979695436329","0.07901823535965484","0.35767304135776107","0.0007307038562547761","0.9290534464084588","0.0841987999330778","0.2707980513496785","0.8832961234016643","0.8894639024175098","0.8745358844269794","0.8956316814333554","0.8834702156635257","1.1863656044006348","0.17089450359344482","7.799008407152975","0.868","0.8781602200312673","0.8664536523684466","0.8883204400625345","0.8684159556463379"
"rosy-sweep-43","0.001239949640502898","0.06654227494538895","0.12118228103006053","0.0007776529637586057","0.913006550244863","0.06968309695620645","0.21588553784087364","0.8826872336107164","0.8892891325447745","0.8729574199243396","0.8958910314788326","0.8827508841697755","1.1927363872528076","0.1762501746416092","13.541982862750114","0.874","0.8782835985655122","0.8691737510051043","0.8825671971310243","0.8743531760039439"
"eager-sweep-41","0.001965349405148242","0.06564417194322482","0.25806525425493504","0.000504569869878488","0.9303702665435136","0.03830016974870018","0.5061072410426429","0.8822813070834179","0.8892766448410563","0.8740008723649977","0.8962719825986947","0.8822038181658377","1.478428840637207","0.3909798860549927","16.64981535364924","0.88","0.8831577234742924","0.8755464159811986","0.8863154469485848","0.8804991304347826"
"ruby-sweep-31","0.0019452955007178536","0.02813532694643618","0.2233634603719853","0.0006476897478419744","0.9325334917524628","0.05555139176561616","0.4221828639373856","0.8806576009742236","0.8886364286613118","0.872293900056527","0.8966152563483999","0.8809534502687036","1.6197034120559692","0.48224303126335144","15.39404286135761","0.876","0.8819715558572372","0.8711021238912527","0.8879431117144745","0.8767149313845083"
"distinctive-sweep-40","0.0017420788845418323","0.061178823182649694","0.21335091544915927","0.0008309712335156049","0.921876869297608","0.04549461841384017","0.20568833458425673","0.8824842703470672","0.8886085704911268","0.8731750742118612","0.8947328706351865","0.8825048355307773","1.1908200979232788","0.17464220523834229","10.631799047969478","0.868","0.8751708832989111","0.8610096294134811","0.8823417665978223","0.8684456531465811"
"tough-sweep-51","0.001929264293338664","0.07850639563284882","0.36987943448373345","0.0007175815662635537","0.9192056472359004","0.05910089741706466","0.2524491946314008","0.8832961234016643","0.8885375508821105","0.8757755682893519","0.8937789783625567","0.8834244261877038","1.5015939474105835","0.4065271615982056","13.959497376977724","0.872","0.879576503420933","0.8693376521742769","0.8871530068418659","0.8725338529334219"
