"Name","adamw_lr","adamw_weight_decay","alpha","muon_lr","muon_weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"twilight-sweep-95","0.0001492369220824373","0.03589728538721217","0.1269980605253882","0.0005935996006531239","0.03758828670780545","1.0784045457839966","0.9999995322536614","0.8782220418104323","0.8828724143901248","0.8875227869698172","0.07548262178897858","0.864","0.8686722577939825","0.8733445155879649"
"earthy-sweep-13","0.00014889870203996775","0.03552598921241356","0.17689156373715653","0.0006161039551958639","0.03366802195746529","1.0924794673919678","0.9999996450789204","0.8790338948650295","0.8819708738646457","0.8849078528642619","0.08844989538192749","0.866","0.8696052590295991","0.8732105180591982"
"glad-sweep-89","0.0001489715131555687","0.03509927471932901","0.22336181591960763","0.0005894768711079206","0.03157612714736946","1.0877923965454102","0.9999996497472948","0.8763953724375888","0.8815769662286839","0.8867585600197788","0.0841502845287323","0.868","0.8717513549920151","0.8755027099840302"
"chocolate-sweep-38","0.0001432669378376245","0.0353834755510399","0.4094584296363198","0.0005700693441937332","0.038033626962640725","1.0563702583312988","0.9999992415555368","0.8755835193829917","0.8815450744489177","0.8875066295148437","0.05483877286314964","0.866","0.8734967133724034","0.880993426744807"
"light-sweep-48","0.00014176334276002","0.03524030791689672","0.001271286473561395","0.0006208015116370956","0.034775882882940076","1.0770113468170166","0.999999508562886","0.8772072254921859","0.8815424380660127","0.8858776506398396","0.07418996095657349","0.864","0.8667913531362954","0.8695827062725907"
"rich-sweep-37","0.00014462493342523784","0.03548625018717655","0.005928202030041241","0.0005689693823978336","0.03678979679663419","1.0773884057998655","0.999999705163512","0.8778161152831337","0.8810122184945366","0.8842083217059394","0.0745399221777916","0.858","0.8656617553872639","0.8733235107745277"
"woven-sweep-47","0.00014248000605595834","0.03599757173313506","0.2352138805990303","0.0006641882620943714","0.034877960733833854","1.073185682296753","0.9999996033886258","0.8753805561193424","0.8801506971252469","0.8849208381311514","0.07063145935535431","0.868","0.8695637055743661","0.8711274111487324"
"helpful-sweep-53","0.00014109310927243942","0.035295429658220426","0.43029709089317664","0.0006568298004100285","0.037022768546213926","1.0705550909042358","0.9999996214872984","0.8782220418104323","0.8797920785313118","0.8813621152521912","0.06817731261253357","0.852","0.8616067626687267","0.8712135253374536"
"fine-sweep-76","0.0001493262328540464","0.03570504392555569","0.3764355444536104","0.000585249231705429","0.03904892539131972","1.0578535795211792","0.9999994971241024","0.8757864826466409","0.8794504336498011","0.8831143846529613","0.056241825222969055","0.872","0.8732036294605885","0.874407258921177"
"clean-sweep-7","0.00014770467644371245","0.03529995959178402","0.3794374323353664","0.000592574863962906","0.03553633306476222","1.0604910850524902","0.9999994468670234","0.8761924091739395","0.8794032278838895","0.8826140465938394","0.05873209238052368","0.852","0.8617147701748393","0.8714295403496788"
