"Name","lr","rnn_type","weight_decay","batch_perplexity","best_val_accuracy","raw_grad_norm","train_loss","trainable_params"
"exalted-sweep-23","0.0013062979065488229","LSTM","0.000923638665337838","1.146857500076294","0.837","0.8190664110581526","0.13702555000782013","1127698"
"silver-sweep-15","0.001017533294141225","LSTM","0.006185986997987884","1.13861882686615","0.825","0.6449152684109999","0.1298159956932068","1127698"
"worthy-sweep-19","0.0010439074739334053","LSTM","0.004740691980898844","1.1173970699310305","0.811","0.8031935181761616","0.11100197583436966","1127698"
"spring-sweep-18","0.0012255755334949128","LSTM","0.004003067214414811","1.2020959854125977","0.811","1.200135505163263","0.18406669795513153","1127698"
"jumping-sweep-16","0.0010192919099535577","LSTM","0.009130633821312446","1.179869294166565","0.802","0.9790888061580496","0.16540363430976868","1127698"
"leafy-sweep-17","0.001070523819269338","LSTM","0.0023061246829432906","1.1039875745773315","0.799","0.6063525789405796","0.09892871975898744","1127698"
"super-sweep-20","0.001186956381693854","LSTM","0.002394573557713709","1.157679319381714","0.795","0.8436137791120375","0.14641733467578888","1127698"
"eternal-sweep-25","0.0011304707292565002","LSTM","0.000946467773804075","1.2713431119918823","0.786","0.7982561409696022","0.24007391929626465","1127698"
"stoic-sweep-21","0.001020920649682924","LSTM","0.002740195452561461","1.1590778827667236","0.785","1.0343215752604182","0.1476247012615204","1127698"
"treasured-sweep-47","0.002299927521501145","LSTM","0.006000882027902784","1.1990525722503662","0.745","0.47307420715212","0.1815316677093506","1127698"
"daily-sweep-22","0.0011102179643885943","LSTM","0.0002731165620540809","1.2010077238082886","0.749","0.6726876086331899","0.1831609606742859","1127698"
"comic-sweep-35","0.001515103403132611","LSTM","0.00604529531091953","1.2035906314849854","0.743","0.5570174197899559","0.1853092461824417","1127698"
"earthy-sweep-14","0.0012412961986415995","GRU","0.007806405970944281","1.1817970275878906","0.677","1.2705762676159411","0.16703617572784424","864530"
"celestial-sweep-13","0.001398686972939541","GRU","0.00865670178601391","1.270792841911316","0.656","0.9337831893405932","0.23964102566242215","864530"
"rosy-sweep-12","0.0013405652340193386","GRU","0.007022972090305166","1.2965158224105835","0.651","1.2200903373984775","0.25968050956726074","864530"
"laced-sweep-42","0.00312812530676645","LSTM","0.0007409963787432872","1.2364308834075928","0.65","0.5178250108434265","0.2122289091348648","1127698"
"giddy-sweep-50","0.003492433849103334","LSTM","0.00029813684716497034","1.2427116632461548","0.643","0.6117189069426117","0.2172958105802536","1127698"
"likely-sweep-34","0.0030542520166718565","LSTM","0.000253661082658097","1.2702069282531738","0.642","0.5562040904328384","0.2391798496246338","1127698"
"decent-sweep-11","0.0016061311642380093","GRU","0.0057970709885537645","1.3484158515930176","0.618","0.8014818225477225","0.29893040657043457","864530"
"jumping-sweep-10","0.002075850917707746","GRU","0.007112760041066347","1.413286209106445","0.56","1.010904752501839","0.34591761231422424","864530"
"golden-sweep-9","0.0026621732619870097","GRU","0.006945738710300967","1.5173656940460205","0.493","1.2376621132138468","0.4169757962226868","864530"
"polar-sweep-8","0.0028110734441373036","GRU","0.006935829283015732","1.5001869201660156","0.487","0.7786491780641444","0.405589759349823","864530"
"fresh-sweep-7","0.0031206094841721515","GRU","0.009481159487133316","1.533171772956848","0.48","0.7220036027451955","0.4273386597633362","864530"
"woven-sweep-6","0.0037127152340570746","GRU","0.00942129666684737","1.6807146072387695","0.416","0.8524079262980241","0.5192190408706665","864530"
"rural-sweep-5","0.0056164918932858614","GRU","0.009020872693317996","1.9954757690429688","0.246","0.9202449332909208","0.6908825039863586","864530"
"resilient-sweep-4","0.007990366440176469","GRU","0.009278294643526712","2.07909631729126","0.183","0.6660256291711303","0.7319332957267761","864530"
"dauntless-sweep-3","0.008713194671033488","GRU","0.00984431336341767","2.267761468887329","0.164","0.5654254065330943","0.8187932968139648","864530"
"stilted-sweep-1","0.0022429040531575955","RNN","0.005403202896999826","2.958908796310425","0.081","0.8497071394957517","1.0848205089569092","338194"
