,run,run,epoch1_pearson,epoch1_pearson,epoch1_accuracy,epoch1_accuracy,epoch1_combine,epoch1_combine,epoch2_pearson,epoch2_pearson,epoch2_accuracy,epoch2_accuracy,epoch2_combine,epoch2_combine,epoch3_pearson,epoch3_pearson,epoch3_accuracy,epoch3_accuracy,epoch3_combine,epoch3_combine,test_pearson,test_pearson,test_accuracy,test_accuracy,test_combine,test_combine
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
script,,,,,,,,,,,,,,,,,,,,,,,,,,
nlp_hw3_bert.py,5.5,3.0277,0.8364,0.0102,0.7842,0.0452,0.8103,0.0254,0.8613,0.0081,0.8466,0.0057,0.854,0.0047,0.8636,0.0088,0.8528,0.0053,0.8582,0.0061,0.8727,0.0051,0.8628,0.006,0.8678,0.0046
nlp_hw3_bert_clf.py,5.5,3.0277,0.0638,0.4954,0.8278,0.0215,0.4458,0.2511,0.0398,0.4423,0.8438,0.0111,0.4418,0.2204,0.0262,0.4443,0.847,0.0087,0.4366,0.2233,0.1659,0.3925,0.8492,0.0126,0.5075,0.1957
nlp_hw3_bert_reg.py,5.5,3.0277,0.8389,0.0115,0.3204,0.1288,0.5797,0.0629,0.8658,0.0085,0.3658,0.1614,0.6158,0.0808,0.8666,0.0076,0.384,0.1549,0.6253,0.0784,0.8732,0.0056,0.3843,0.1599,0.6287,0.0794
nlp_hw3_gpt2.py,5.5,3.0277,0.7455,0.0367,0.698,0.0461,0.7217,0.0377,0.828,0.0116,0.8202,0.0414,0.8241,0.0248,0.8417,0.0045,0.8474,0.0142,0.8446,0.0083,0.841,0.0048,0.8476,0.0125,0.8443,0.0076
nlp_hw3_roberta.py,5.5,3.0277,0.8436,0.0153,0.744,0.0176,0.7938,0.0127,0.887,0.0045,0.877,0.0133,0.882,0.0078,0.8883,0.0076,0.8802,0.0081,0.8842,0.0067,0.8877,0.0052,0.8805,0.0067,0.8841,0.0056
