script,run,epoch1_pearson,epoch1_accuracy,epoch1_combine,epoch2_pearson,epoch2_accuracy,epoch2_combine,epoch3_pearson,epoch3_accuracy,epoch3_combine,test_pearson,test_accuracy,test_combine
nlp_hw3_bert.py,1,0.8230941941696105,0.708,0.7655470970848053,0.8502416400748907,0.852,0.8511208200374454,0.8448945767359,0.848,0.8464472883679499,0.8656383493520126,0.8567079358636087,0.8611731426078106
nlp_hw3_bert.py,2,0.8411933475744862,0.81,0.8255966737872431,0.862625315511973,0.844,0.8533126577559864,0.8640595172696983,0.852,0.8580297586348491,0.8767358297903572,0.8591434950274001,0.8679396624088787
nlp_hw3_bert.py,3,0.8493757795197023,0.816,0.8326878897598511,0.8484023787830698,0.846,0.8472011893915349,0.8618273737498217,0.852,0.8569136868749108,0.8766121109137085,0.8749746295920439,0.8757933702528762
nlp_hw3_bert.py,4,0.8421504388152738,0.832,0.837075219407637,0.8723154933659364,0.856,0.8641577466829682,0.8748760707768087,0.852,0.8634380353884044,0.8642837419052891,0.8569108991272579,0.8605973205162736
nlp_hw3_bert.py,5,0.8443078776046836,0.8,0.8221539388023418,0.8673689481695195,0.844,0.8556844740847598,0.8710524261758721,0.86,0.865526213087936,0.8757157586090978,0.8660442459914756,0.8708800023002867
nlp_hw3_bert.py,6,0.8443221898907313,0.808,0.8261610949453657,0.8686682007309771,0.836,0.8523341003654885,0.8599708871111397,0.848,0.8539854435555698,0.8723452406914921,0.8674649888370205,0.8699051147642562
nlp_hw3_bert.py,7,0.8339786990792407,0.718,0.7759893495396204,0.8639249912054546,0.848,0.8559624956027273,0.8595285761081584,0.852,0.8557642880540792,0.8706081386786056,0.8625938705094378,0.8666010045940218
nlp_hw3_bert.py,8,0.8338629748030968,0.814,0.8239314874015484,0.8658481548752236,0.844,0.8549240774376118,0.8593209733569785,0.848,0.8536604866784893,0.8726930459394945,0.8573168256545566,0.8650049357970255
nlp_hw3_bert.py,9,0.8164396565509185,0.8,0.8082198282754594,0.8533489204423667,0.844,0.8486744602211833,0.8661165584862088,0.864,0.8650582792431044,0.8715105221696295,0.8672620255733712,0.8693862738715004
nlp_hw3_bert.py,10,0.8355521285576771,0.736,0.7857760642788385,0.8604191051988155,0.852,0.8562095525994078,0.8742060121564966,0.852,0.8631030060782483,0.880592883744778,0.8599553480819971,0.8702741159133875
nlp_hw3_roberta.py,1,0.8600228897020131,0.738,0.7990114448510066,0.8925244492162482,0.884,0.8882622246081241,0.8901826001682496,0.876,0.8830913000841247,0.8906459922368334,0.8818753805561194,0.8862606863964764
nlp_hw3_roberta.py,2,0.8240336523543655,0.726,0.7750168261771828,0.8829124544720813,0.876,0.8794562272360407,0.8988542209209411,0.882,0.8904271104604706,0.8921473229026405,0.8786279683377308,0.8853876456201857
nlp_hw3_roberta.py,3,0.848486221501611,0.716,0.7822431107508054,0.8871496251292339,0.884,0.885574812564617,0.8841569823848807,0.882,0.8830784911924403,0.8841123243419634,0.8768012989648873,0.8804568116534254
nlp_hw3_roberta.py,4,0.8348617093064815,0.732,0.7834308546532407,0.8831014530996631,0.878,0.8805507265498316,0.8893555582684167,0.892,0.8906777791342084,0.894682093734029,0.888167241729247,0.891424667731638
nlp_hw3_roberta.py,5,0.8269075025956114,0.748,0.7874537512978057,0.8951394786348826,0.874,0.8845697393174413,0.8918048542366288,0.888,0.8899024271183145,0.8885989551724468,0.8908057641566877,0.8897023596645672
nlp_hw3_roberta.py,6,0.8545027464329886,0.752,0.8032513732164943,0.8889250976753701,0.882,0.885462548837685,0.9004940888514763,0.882,0.8912470444257381,0.8909866899282597,0.8853257560381571,0.8881562229832084
nlp_hw3_roberta.py,7,0.8401733773652363,0.756,0.7980866886826181,0.8841400871886006,0.89,0.8870700435943003,0.8802974644281312,0.864,0.8721487322140655,0.8789694046771593,0.8759894459102903,0.8774794252937248
nlp_hw3_roberta.py,8,0.8419350559578882,0.778,0.8099675279789441,0.8841347045015395,0.848,0.8660673522507698,0.8771373980354543,0.872,0.8745686990177272,0.8796469566504365,0.867059062309722,0.8733530094800792
