"Name","adamw_lr","dropout_rate","muon_lr","warmup_ratio","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"classic-sweep-1","0.00019480674695133605","0.00018410462158393597","0.0007361487215986276","0.058020844241363584","0.00005679028072721607","1.293170690536499","0.9999996471498402","0.8739598132737975","0.8747170137196139","0.8754742141654301","0.25709712505340576","0.858","0.860681298456531","0.8633625969130619"
"proud-sweep-74","0.00019908151464941031","0.006060078214136278","0.0007891945151236726","0.059206227707353","0.000056544705492841575","1.2967631816864014","0.9999996755957304","0.8733509234828496","0.8744708058305002","0.8755906881781509","0.25987133383750916","0.852","0.8584794664939079","0.8649589329878159"
"rosy-sweep-11","0.00016269084753338107","0.0006124305635518469","0.0007942227387984675","0.12348603906860188","0.000016829509969649142","1.252556085586548","0.9999996347518522","0.8737568500101481","0.8744385308217042","0.8751202116332604","0.225186288356781","0.848","0.855168233659707","0.8623364673194139"
"generous-sweep-9","0.00015724697573638635","0.002573555160676389","0.0007993554679190491","0.05534595271110474","0.000053048815155240174","1.2935409545898438","0.9999997542707504","0.8723361071646032","0.8742568160835074","0.8761775250024116","0.2573833465576172","0.858","0.8598230355147596","0.8616460710295193"
"elated-sweep-80","0.0001282081185773337","0.010379921077796306","0.0007956763312372902","0.05919365085696749","0.0000853629557760444","1.2763667106628418","0.999999564351549","0.8713212908463568","0.8737957367134437","0.8762701825805306","0.2440175414085388","0.85","0.8557094592996272","0.8614189185992543"
"dainty-sweep-63","0.00019328815206524048","0.0010054309075522515","0.0007364835672995924","0.056391264150750464","0.000044374690787887374","1.307892084121704","0.9999997711728252","0.8727420336919017","0.8737039813875581","0.8746659290832145","0.2684168219566345","0.854","0.8585364296939575","0.8630728593879149"
"fresh-sweep-62","0.0001604555730458033","0.0052192651606014495","0.0007557690778594469","0.15047159775380028","0.00006231309474028093","1.2716153860092163","0.9999996333966868","0.8729449969555511","0.8735148302612051","0.8740846635668592","0.2402881234884262","0.848","0.853124248469554","0.858248496939108"
"cerulean-sweep-6","0.0001984254637293741","0.0040491226362923795","0.0007601745113288758","0.11043342824173548","0.00004026018945176266","1.2916687726974487","0.9999996906558724","0.8713212908463568","0.8734361693073764","0.875551047768396","0.2559349834918976","0.846","0.8539588098855386","0.8619176197710774"
"copper-sweep-10","0.00016021264547442843","0.02468818076471564","0.00079109656918214","0.1479139790753262","0.000057298269762466847","1.2836986780166626","0.9999995731654368","0.872133143900954","0.8732729481152244","0.8744127523294949","0.24974557757377625","0.852","0.8559737818059392","0.8599475636118783"
"playful-sweep-25","0.0001380351155131067","0.011483473707548986","0.0007910072873244478","0.05404554882193435","0.00006118204650757035","1.266250491142273","0.9999996012146738","0.8713212908463568","0.8732361404799561","0.8751509901135555","0.23606014251708984","0.85","0.8557229475381195","0.861445895076239"
"spring-sweep-40","0.0001278267123770211","0.009740923891216393","0.0007510552325622724","0.03709894271181813","0.0000928526579752515","1.294744610786438","0.9999994519397134","0.8731479602192003","0.8732290107266969","0.8733100612341934","0.25831347703933716","0.854","0.8600395867520297","0.8660791735040595"
