"Name","adamw_lr","batch_size","grad_clip","muon_lr","batch_perplexity","best_val_accuracy","raw_grad_norm","train_loss","val_accuracy","val_correct"
"different-sweep-42","0.0011842675281401737","256","2","0.0015654716346767232","1.1121550798416138","0.8401139601139601","3.0054506116831803","0.10629970580339432","0.8401139601139601","22116"
"gallant-sweep-74","0.0014992089310131992","128","0.5","0.0014466724644488882","1.1771090030670166","0.828034188034188","2.6177583184816795","0.16306141018867493","0.828034188034188","21798"
"earnest-sweep-88","0.001020731398524446","128","1","0.0008600216080346188","1.2143348455429075","0.8105223171889838","9.957128243220223","0.1941964626312256","0.8105223171889838","21337"
"effortless-sweep-14","0.0012042091961872682","128","1","0.0015935524093636556","1.1218409538269043","0.8054700854700855","2.651947185603412","0.11497106403112411","0.8054700854700855","21204"
"vocal-sweep-103","0.0015049270650731867","128","0.5","0.0014475586100839409","1.1893281936645508","0.8037226970560304","6.296241224499737","0.17338858544826508","0.8037226970560304","21158"
"atomic-sweep-71","0.000991350550376866","256","1","0.0012375525942186954","1.1352370977401731","0.798062678062678","3.859769770071382","0.1268414855003357","0.798062678062678","21009"
"vibrant-sweep-76","0.0009690233798814492","128","0.5","0.0015401497232726943","1.197973608970642","0.7960873694207028","4.890055867820696","0.18063147366046903","0.7960873694207028","20957"
"valiant-sweep-10","0.0011842595978105344","128","1","0.0014923517659880911","1.1843246221542358","0.7939221272554606","2.2098350603981975","0.16917261481285095","0.7939221272554606","20900"
"deep-sweep-61","0.001473632730293985","128","2","0.0008432804107614398","1.1753560304641724","0.7906172839506173","6.1910545158191805","0.16157108545303345","0.7906172839506173","20813"
"apricot-sweep-106","0.0009119860685643232","128","2","0.0011953540147277297","1.1479253768920898","0.7897815764482431","4.5536449547462805","0.13795621693134308","0.7897815764482431","20791"
"wobbly-sweep-8","0.0010388581970485551","128","1","0.0014948047686279176","1.1880207061767578","0.7816144349477683","3.1463752885556384","0.17228862643241882","0.7816144349477683","20576"
"peach-sweep-69","0.0014050973786266224","128","2","0.0013484588858056377","1.1394197940826416","0.7810446343779677","4.762973422447999","0.13051918148994446","0.7810446343779677","20561"
"ruby-sweep-75","0.001245176979648804","128","0.5","0.001394160345147693","1.0915796756744385","0.779639126305793","1.6867963191800617","0.0876259058713913","0.7651282051282051","20142"
"fancy-sweep-92","0.0011589317592545483","128","1","0.0015645954211166966","1.1628775596618652","0.7796011396011396","2.976781193466719","0.15089763700962067","0.7796011396011396","20523"
"visionary-sweep-43","0.0014707777583322576","256","2","0.001021345032476031","1.1972999572753906","0.7779677113010446","6.646424146896833","0.18006901443004608","0.7779677113010446","20480"
"dashing-sweep-108","0.0008933764397344796","128","0.5","0.0014799857171547703","1.175278663635254","0.7744729344729345","5.544703759809878","0.16150537133216858","0.7744729344729345","20388"
"smart-sweep-40","0.0010315193704971402","128","2","0.0014485706783913244","1.1666865348815918","0.7744349477682811","6.443480701202913","0.1541677564382553","0.7744349477682811","20387"
"rich-sweep-67","0.0010102661240579305","128","1","0.0013964239298464964","1.169018030166626","0.7736752136752136","3.2933702360679815","0.15616413950920105","0.7736752136752136","20367"
"lyric-sweep-6","0.0009841009534582669","128","2","0.0015774957833619898","1.2019660472869873","0.7731433998100665","2.5931800035220736","0.18395857512950897","0.7731433998100665","20353"
"wandering-sweep-15","0.0011498988282807555","128","1","0.0015457955177180238","1.1898795366287231","0.7731054131054131","4.657407467073509","0.17385198175907135","0.7731054131054131","20352"
"proud-sweep-25","0.0015268287107022957","128","2","0.0015496141135310443","1.1357920169830322","0.7725356125356125","4.353906540471708","0.12733027338981628","0.7725356125356125","20337"
"hearty-sweep-60","0.001538783815354619","128","2","0.001473517260870078","1.193039894104004","0.7715099715099715","3.6140265604688193","0.17650456726551056","0.7715099715099715","20310"
"genial-sweep-12","0.001190543461941224","256","2","0.001574261872306953","1.1671910285949707","0.7701804368471035","4.254656805769207","0.15460005402565002","0.7701804368471035","20275"
"cosmic-sweep-52","0.001487434871376407","128","1","0.0009342193218432696","1.1696724891662598","0.7665337132003799","4.661194572896736","0.15672379732131958","0.7665337132003799","20179"
"silver-sweep-9","0.0009895406344344326","128","1","0.0015727133957744335","1.1789965629577637","0.7664957264957265","5.047270181050471","0.1646636575460434","0.7664957264957265","20178"
"super-sweep-7","0.0010415873116515226","128","2","0.0015732518451735088","1.2133357524871826","0.7660778727445394","7.108305979665124","0.1933733969926834","0.7660778727445394","20167"
