"Name","batch_size","lr_adamw","lr_muon","momentum","rnn_type","weight_decay","batch_perplexity","best_val_accuracy","raw_grad_norm","total_params","train_loss","trainable_params","val_accuracy","val_correct"
"stilted-sweep-38","128","0.0013642642523960858","0.001373842742787389","0.9710404890962728","LSTM","0.011573958624914116","1.054635763168335","0.9266","1.237165797213577","1127698","0.05319543182849884","1127698","0.9266","4633"
"effortless-sweep-5","512","0.0013722494418728698","0.0013186976411930027","0.9929790725505396","GRU","0.004322674783959129","1.0705530643463137","0.9168","1.1572183910359708","1130768","0.06817539781332016","1130768","0.9168","4584"
"sunny-sweep-67","256","0.0012144867341854163","0.0009930448349899255","0.9866244239692664","GRU","0.005449386958644012","1.082459807395935","0.9128","1.970252845814461","1130768","0.0792359858751297","1130768","0.9128","4564"
"volcanic-sweep-1","256","0.0012998852545790926","0.0012063713807079369","0.9925463529209592","GRU","0.004706459723079438","1.0953369140625","0.9126","1.4182132795545022","1130768","0.0910620465874672","1130768","0.9126","4563"
"snowy-sweep-36","128","0.0010036481910839137","0.0011599881751489514","0.9882772475004918","GRU","0.010228689546837024","1.087088108062744","0.9126","2.5407869220131807","1130768","0.08350266516208649","1130768","0.9126","4563"
"scarlet-sweep-16","512","0.0010570450894977056","0.001197188452659864","0.9875210718441692","LSTM","0.006260496598912478","1.0722386837005615","0.9086","1.072673755333806","1127698","0.069748654961586","1127698","0.9086","4543"
"lyric-sweep-7","128","0.0013999299938339802","0.0010951301027958462","0.9542423773027024","LSTM","0.010446484019082675","1.0341717004776","0.9082","1.6037814386513665","1127698","0.03360086679458618","1127698","0.9082","4541"
"jumping-sweep-20","256","0.0012155427564591486","0.0012488632461899812","0.9542871898022872","GRU","0.007209505663672608","1.0799665451049805","0.9078","2.1929630680976366","1130768","0.07693007588386536","1130768","0.9078","4539"
"classic-sweep-34","512","0.0013452846753159984","0.0014951376221120911","0.9704942298930944","LSTM","0.009118564073372248","1.0727847814559937","0.906","1.097471154550518","1127698","0.07025787979364395","1127698","0.906","4530"
"graceful-sweep-61","128","0.0009350611216838128","0.0014162255833377617","0.993024063824502","GRU","0.007958202801861408","1.0811281204223633","0.903","1.1364151758079537","1130768","0.07800498604774475","1130768","0.903","4515"
"bright-sweep-22","256","0.0011221449840122437","0.001394766097149318","0.9102691981412634","GRU","0.00346635680427387","1.1081331968307495","0.9026","3.8359114817701343","1130768","0.10267677158117294","1130768","0.9026","4513"
"pleasant-sweep-28","256","0.0012146289675353005","0.0012789848374902965","0.9769509094791868","GRU","0.006321102592558608","1.1005351543426514","0.8998","4.158545596597238","1130768","0.09579653292894363","1130768","0.8998","4499"
"sleek-sweep-27","128","0.0012090040718639007","0.0012872441560129511","0.9175946466362592","LSTM","0.0031514704130159352","1.071398138999939","0.899","3.0418834765130423","1127698","0.06896442174911499","1127698","0.899","4495"
"bright-sweep-62","256","0.0010316163948613894","0.000978016273572752","0.9682729760936246","GRU","0.009326045213291228","1.0793695449829102","0.899","4.089108060338229","1130768","0.07637711614370346","1130768","0.899","4495"
"dulcet-sweep-35","512","0.0009245967381007448","0.0010049509181795757","0.9869484535604972","LSTM","0.0034838539718323167","1.0844935178756714","0.8974","2.9625743497750783","1127698","0.0811130702495575","1127698","0.8974","4487"
"glorious-sweep-6","128","0.0013239913078385197","0.0009023263897331196","0.9979481648228696","LSTM","0.007314261502908078","1.0739327669143677","0.8954","0.6082924564323111","1127698","0.07132741808891296","1127698","0.8954","4477"
"revived-sweep-60","128","0.0009551299582470551","0.0010134698310913254","0.9484619845305244","LSTM","0.008657815263788936","1.099985957145691","0.879","3.450450435410187","1127698","0.09529738128185272","1127698","0.879","4395"
"vibrant-sweep-55","128","0.0009603524410335594","0.0012406044578497158","0.8998276642790779","LSTM","0.008196330133281218","1.090476155281067","0.8756","3.0103769237456772","1127698","0.08661454170942307","1127698","0.8756","4378"
"celestial-sweep-46","512","0.000933945345327356","0.0008424405897673543","0.9910642636273428","GRU","0.0030734404292372675","1.098170518875122","0.869","1.928307330341688","1130768","0.0936456248164177","1130768","0.869","4345"
"worldly-sweep-56","256","0.0010703118480324511","0.001034267443683908","0.9433330165372542","LSTM","0.003156822989855395","1.09832501411438","0.8648","3.295196528481886","1127698","0.0937863364815712","1127698","0.8648","4324"
"olive-sweep-48","128","0.0014097465890996884","0.0014438579022845546","0.858133453104509","LSTM","0.0032279046613391455","1.0917147397994995","0.852","4.991164090493922","1127698","0.08774961531162262","1127698","0.852","4260"
"giddy-sweep-59","128","0.0013973568725242985","0.00087754674035644","0.9517392046410504","LSTM","0.004142156722057435","1.1131221055984497","0.8506","2.6921827656323973","1127698","0.1071687564253807","1127698","0.8506","4253"
"vague-sweep-3","256","0.0011497086580509908","0.0011308100465415197","0.8750553680313942","LSTM","0.010279711589814966","1.167219638824463","0.816","4.998124125574847","1127698","0.15462452173233032","1127698","0.816","4080"
