"Name","adamw_lr","muon_lr","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"fallen-sweep-89","0.0001478721873342092","0.0005654661737641687","0.000027777293442605103","1.3568779230117798","0.9999997346563764","0.8563020093363102","0.8628352362984868","0.8693684632606633","0.3051864504814148","0.85","0.854703068089948","0.859406136179896"
"neat-sweep-62","0.00014604350499887944","0.0005730971904156611","0.000021326169742110984","1.3065487146377563","0.9999999387662932","0.8595494215546986","0.8628163088736196","0.8660831961925405","0.2673891484737396","0.854","0.8518223728025784","0.849644745605157"
"amber-sweep-14","0.00014610597049892913","0.000568667336139768","0.000028272113093139132","1.369900822639465","0.9999998757682136","0.8589405317637507","0.8627934390730023","0.8666463463822539","0.31473833322525024","0.85","0.853552538885101","0.857105077770202"
"absurd-sweep-1","0.00014786391247102344","0.0005668560811778738","0.00002306324360937498","1.306227445602417","0.9999999340630196","0.8585346052364522","0.8627405620666182","0.8669465188967843","0.2671431303024292","0.86","0.8580482445758275","0.8560964891516549"
"curious-sweep-15","0.00014148721443732947","0.0005680619385270498","0.000027489015049655783","1.266077756881714","0.9999998537788168","0.8583316419728029","0.8627322026877817","0.8671327634027606","0.23592370748519895","0.85","0.8534354172797789","0.8568708345595579"
"chocolate-sweep-28","0.0001463821718983402","0.0005703396749520269","0.0000234662469432061","1.2984389066696167","0.9999998942733868","0.8546783032271159","0.8626779686159998","0.8706776340048837","0.26116275787353516","0.836","0.8434157806361997","0.8508315612723993"
"charmed-sweep-50","0.00014344962767968243","0.000569170216198853","0.000023280406188489006","1.3465498685836792","0.999999865346954","0.8558960828090115","0.8626476586733358","0.8693992345376602","0.2975456118583679","0.862","0.8641638412837416","0.866327682567483"
"resilient-sweep-47","0.00014753724033622623","0.0005747620070811685","0.00002394119872319763","1.1609786748886108","0.9999997441893428","0.8571138623909073","0.8626178526601943","0.8681218429294814","0.14926336705684662","0.854","0.8524588594956463","0.8509177189912925"
"rare-sweep-86","0.0001434543062143136","0.0005686211596605728","0.000027703174781124804","1.2900758981704712","0.9999998110241058","0.8558960828090115","0.8624694249759933","0.8690427671429751","0.25470098853111267","0.862","0.8584393227487503","0.8548786454975006"
"sandy-sweep-73","0.00014578499911209895","0.0005678769658109958","0.000022062338793606735","1.3369446992874146","0.9999998850365932","0.8567079358636087","0.8623549195385535","0.8680019032134982","0.2903869152069092","0.848","0.851335122804739","0.8546702456094781"
"vital-sweep-33","0.00014679949287176668","0.0005692696543497339","0.00002385877448959651","1.2953509092330933","0.9999997997937282","0.8548812664907651","0.8623510413569642","0.8698208162231633","0.2587816119194031","0.846","0.8534886244452378","0.8609772488904756"
"generous-sweep-51","0.00014575563450011742","0.0005743169431234442","0.0000207355133275102","1.346885323524475","0.999999869816946","0.8530545971179216","0.8623020673431143","0.871549537568307","0.2977946996688843","0.85","0.8556601328400576","0.8613202656801152"
"pretty-sweep-97","0.00014245944632832342","0.000569534730212581","0.000025748104715905185","1.3105019330978394","0.9999998790535348","0.8597523848183479","0.8622328147765599","0.864713244734772","0.2704102396965027","0.856","0.8568402397524295","0.8576804795048589"
"trim-sweep-95","0.00014289639725701837","0.0005682174922989915","0.00002798205385880369","1.231285572052002","0.9999998538765602","0.8569108991272579","0.8621569341082143","0.8674029690891705","0.20805881917476657","0.852","0.8540886648984346","0.8561773297968692"
"sweet-sweep-78","0.00014662611628788697","0.0005653611447029246","0.0000216263330070783","1.3710509538650513","0.9999997576822776","0.8573168256545566","0.862065505142644","0.8668141846307315","0.3155776262283325","0.864","0.8604863521011177","0.8569727042022354"
"feasible-sweep-55","0.00014212320895617056","0.0005677156337087619","0.000026753643128811585","1.242956042289734","0.9999999116609066","0.8552871930180638","0.8620096635075011","0.8687321339969384","0.2174925208091736","0.856","0.8556929684493504","0.8553859368987007"
"morning-sweep-102","0.00014682534809621416","0.0005703335390031013","0.000021854614586020877","1.1519339084625244","0.9999998116519848","0.8583316419728029","0.8619973917535666","0.8656631415343304","0.1414421945810318","0.852","0.8562394756751361","0.8604789513502722"
"ethereal-sweep-12","0.0001407458037501303","0.0005698202669073852","0.000028381486101779517","1.2953020334243774","0.9999998783852532","0.854069413436168","0.8618767383972556","0.8696840633583431","0.25874388217926025","0.848","0.8515534487757441","0.8551068975514884"
"northern-sweep-65","0.00014861178362627763","0.0005730879996330002","0.000022744725040352495","1.255048155784607","0.999999847788698","0.8573168256545566","0.8618271297009873","0.866337433747418","0.22717392444610596","0.848","0.8506207334591727","0.8532414669183453"
"gallant-sweep-130","0.00014129843662814465","0.0005729202334659302","0.000024058264406957892","1.3084046840667725","0.99999979739031","0.8552871930180638","0.8618270016555416","0.8683668102930195","0.26880860328674316","0.86","0.8570676365808765","0.8541352731617531"
"dandy-sweep-37","0.00014980587409641925","0.0005743800456405814","0.000023668867669678813","1.2416824102401731","0.99999974117837","0.8548812664907651","0.8617788814830456","0.8686764964753261","0.2164672464132309","0.856","0.8524921239574912","0.8489842479149823"
"hopeful-sweep-52","0.00014088546790821227","0.000570230008521778","0.000027847963866259745","1.1855345964431765","0.9999997316298884","0.8542723766998174","0.8616392041424437","0.86900603158507","0.17019376158714294","0.864","0.8660730417853724","0.8681460835707447"
"polished-sweep-35","0.00014420525743330862","0.0005705417825414545","0.00002993108847471831","1.3487390279769895","0.99999992813799","0.854069413436168","0.8616363321473266","0.8692032508584853","0.2991701066493988","0.864","0.8589760236323659","0.8539520472647318"
"comfy-sweep-91","0.00014729858316735056","0.0005706002235950067","0.00002068048017853236","1.2253117561340332","0.9999997699264176","0.8550842297544144","0.8614043498941053","0.8677244700337963","0.20319528877735135","0.866","0.8652716167905526","0.8645432335811053"
"fragrant-sweep-5","0.000142037150694034","0.0005673107519450981","0.000021890384872752563","1.232480525970459","0.9999998391884254","0.855490156281713","0.8613890282803394","0.8672879002789656","0.20902881026268005","0.86","0.8588466087600244","0.8576932175200489"
"jumping-sweep-45","0.0001495142949634613","0.0005696021102893451","0.00002298835330152341","1.2620152235031128","0.9999998185466996","0.8516338542723767","0.8613867808249438","0.8711397073775109","0.23270981013774872","0.848","0.8530774363602377","0.8581548727204754"
